CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,CAMPAIGN_LOST,ID,percent_open,percent_click
-9036987208130000000,76765,298,0,0,0,0,7,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,STNL to BP,88,0.22580645161290322,0.0
-9036639224216210000,171793,633,1,0,0,0,19,0,63,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,85,STNL to BP,89,0.30158730158730157,0.0
-9035677322885030000,248484,926,3,0,0,0,15,0,102,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,123,STNL to BP,90,0.14705882352941177,0.0
-9032543789891620000,14114,47,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,STNL to BP,91,,
-9030156908949720000,286895,1065,1,0,4,0,21,0,116,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,STNL to BP,92,0.1810344827586207,0.19047619047619047
-9020291114682030000,2017,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STNL to BP,93,,
-9018607730382460000,139422,544,0,0,0,0,11,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,STNL to BP,94,0.1896551724137931,0.0
-9018300056310510000,206215,656,15,0,1,0,21,0,63,0,1,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,102,STNL to BP,95,0.3333333333333333,0.047619047619047616
-9017188433725200000,280980,1025,1,0,0,0,2,0,136,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,139,STNL to BP,96,0.014705882352941176,0.0
-9010761012639450000,297025,1153,1,0,1,0,33,0,111,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,147,STNL to BP,97,0.2972972972972973,0.030303030303030304
-9008721192116480000,652848,2786,122,0,7,0,64,0,130,0,0,0,1,1,0,0,113,0,0,0,0,2,0,0,0,0,0,0,323,BP to STH,98,0.49230769230769234,0.109375
-9007425728635180000,6071,23,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,STNL to BP,99,,
-9006797857254270000,337433,1328,0,0,1,0,44,0,120,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,167,STNL to BP,100,0.36666666666666664,0.022727272727272728
-9005009734103900000,181955,684,2,0,0,0,7,0,81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,STNL to BP,101,0.08641975308641975,0.0
-9004068625058590000,151611,613,1,0,0,0,4,0,69,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,75,STNL to BP,102,0.057971014492753624,0.0
-9003536029818040000,125284,461,0,0,0,0,5,0,55,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,62,STNL to BP,103,0.09090909090909091,0.0
-9003132007422260000,105069,385,0,0,0,0,12,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,STNL to BP,104,0.3,0.0
-9002614310016050000,343590,1350,6,0,6,0,46,0,111,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,170,STNL to BP,105,0.4144144144144144,0.13043478260869565
-9002218071452600000,24211,111,0,0,0,0,3,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,STNL to BP,106,0.375,0.0
-9002204584519390000,2018,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STNL to BP,107,,
-8996271829069540000,117315,445,54,0,0,0,0,0,3,0,0,1,1,1,1,0,49,0,0,0,0,0,0,0,0,0,0,0,58,STNL to BP,108,0.0,
-8992265473913400000,4033,19,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,STNL to BP,109,,
-8988922058718030000,107017,410,0,0,0,0,13,0,36,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,53,STNL to BP,110,0.3611111111111111,0.0
-8988244324406190000,4033,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,STNL to BP,111,,
-8985727435840100000,307190,1235,0,0,1,0,8,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,STNL to BP,112,0.055944055944055944,0.125
-8984026792353930000,183875,642,3,0,0,0,29,0,59,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,91,STNL to BP,113,0.4915254237288136,0.0
-8983789547518510000,299048,1128,5,0,0,0,42,0,100,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,148,BP to STH,114,0.42,0.0
-8976421216917760000,58545,234,0,0,0,0,13,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,STNL to BP,115,0.8666666666666667,0.0
-8975364831537070000,333556,1241,1,0,6,0,18,1,139,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,STNL to BP,116,0.12949640287769784,0.3333333333333333
-8975265001460180000,171798,641,0,0,1,0,34,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,STNL to BP,117,0.68,0.029411764705882353
-8974552446931730000,638832,2354,64,0,7,5,112,1,125,0,0,0,1,0,2,0,63,0,0,0,0,0,0,0,0,0,0,0,316,BP to STH,118,0.896,0.0625
-8972926228246840000,66687,234,0,0,0,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,STNL to BP,119,0.03125,0.0
-8971843883693110000,212150,865,0,0,0,0,21,0,83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,105,STNL to BP,120,0.25301204819277107,0.0
-8970250927173490000,119204,432,0,0,0,0,5,0,53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,STNL to BP,121,0.09433962264150944,0.0
-8970019989456070000,254630,973,3,1,2,0,15,0,104,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,126,STNL to BP,122,0.14423076923076922,0.13333333333333333
-8968184616221440000,250565,1005,0,0,0,0,4,0,119,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,124,STNL to BP,123,0.03361344537815126,0.0
