CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,CAMPAIGN_LOST,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase
-5938655474642990000,127298,473,4,0,2,0,3,0,53,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,63,STNL to BP,1606,0.05660377358490566,0.6666666666666666,1057
-5874542285017700000,101080,418,2,0,4,0,12,0,32,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,50,STNL to BP,1632,0.375,0.3333333333333333,39
-5839145608369570000,123267,467,4,0,0,0,6,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,61,STNL to BP,1650,0.12,0.0,272
-5779282806876450000,80818,307,2,0,0,0,12,0,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,40,BP to STH,1696,0.46153846153846156,0.0,651
-5718725811487510000,111187,438,6,0,0,0,3,0,46,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,STNL to BP,1734,0.06521739130434782,0.0,260
-5641439395907760000,68717,271,3,0,0,0,5,0,26,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,STNL to BP,1775,0.19230769230769232,0.0,1462
-5627103211529320000,131375,524,3,0,0,0,6,0,55,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,65,BP to STH,1785,0.10909090909090909,0.0,323
-5614986345019470000,187976,707,4,1,1,0,23,0,62,1,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,93,STNL to BP,1791,0.3709677419354839,0.043478260869565216,158
-5396029750815820000,6071,30,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,BP to STH,1883,,,318
-5342091122238060000,171770,686,8,0,0,0,17,0,60,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,85,STNL to BP,1910,0.2833333333333333,0.0,788
-5329338346042440000,206231,734,4,1,10,0,46,0,39,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,102,STNL to BP,1918,1.1794871794871795,0.21739130434782608,398
