CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_receipt,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase
-8190499318746573159,5340638,19744,83,0,20,0,1256,0,1280,1,0,0,0,0,0,3,0,75,0,0,0,0,3,0,0,0,0,0,0,2643,89,0.98125,0.01592356687898089,719
-8159782534830694881,6149970,23446,372,0,92,26,1821,22,701,1,0,2,0,0,4,4,5,307,0,0,4,0,1,0,0,0,1,1,0,3042,90,2.5977175463623396,0.050521691378363535,192
-8142035301243955785,1546580,5205,6,0,29,0,233,0,492,1,0,2,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,765,91,0.4735772357723577,0.12446351931330472,330
-8109889972808562402,814491,3192,4,0,10,0,71,0,314,1,0,0,0,1,1,2,0,0,0,0,0,0,2,0,0,0,1,0,0,403,93,0.22611464968152867,0.14084507042253522,195
-8094583847635862060,1184095,4390,8,0,11,0,136,0,426,1,0,1,0,0,0,4,1,0,0,0,0,0,1,0,1,0,0,0,0,586,94,0.3192488262910798,0.08088235294117647,938
-8086342847775866928,2184526,8142,19,0,42,0,419,0,595,1,0,4,0,3,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,1081,95,0.704201680672269,0.10023866348448687,245
-8078686549087937770,1703912,6532,12,0,16,1,92,1,718,1,0,2,0,1,0,2,2,0,0,0,0,0,1,0,1,0,0,0,0,843,96,0.12813370473537605,0.17391304347826086,201
-8060698176840469727,1053166,3868,36,4,20,4,80,3,369,1,0,1,0,4,1,4,0,14,0,0,1,1,1,0,3,0,0,0,0,521,97,0.21680216802168023,0.25,238
-8049469528423341279,1026490,3626,20,0,7,0,197,0,279,1,0,3,0,3,0,3,0,0,0,0,0,0,1,0,3,0,0,0,0,508,98,0.7060931899641577,0.03553299492385787,307
-8036156559257134594,2773558,10300,25,0,75,1,629,1,636,1,0,5,0,0,0,3,0,0,0,0,1,0,6,0,0,0,1,0,0,1372,99,0.9889937106918238,0.1192368839427663,343
-7987082743647019833,1392809,5254,14,0,1,0,112,0,558,1,0,1,0,3,0,3,5,0,0,0,1,0,0,0,0,0,0,0,0,689,101,0.2007168458781362,0.008928571428571428,234
