CUSTOMER_KEY,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_receipt,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,text_incoming_from_customer,text_outgoing_to_customer,Totals,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase
-4901350347277773919,285,0,47,4,248,3,565,1,0,3,0,8,11,5,0,244,0,0,0,0,3,0,0,9,0,0,1158,105,0.4389380530973451,0.18951612903225806,3
-4862378835485175580,37,0,3,0,2,0,7,1,0,0,0,1,10,3,1,16,1,0,0,0,2,0,1,0,0,0,54,106,0.2857142857142857,1.5,355
-4791621758927842840,6,0,2,1,91,1,64,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,168,109,1.421875,0.02197802197802198,-83
-4747730387069051589,2,0,19,0,344,0,656,1,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1026,110,0.524390243902439,0.055232558139534885,51
-4738118209948674539,78,0,105,2,1343,1,986,1,0,12,0,6,3,5,9,21,0,0,0,0,7,0,7,1,0,0,2521,111,1.3620689655172413,0.0781831720029784,-50
-4736085589278100603,12,0,8,0,72,0,267,1,0,0,0,1,3,4,0,2,0,0,0,0,1,0,0,0,0,0,364,112,0.2696629213483146,0.1111111111111111,-242
-4673656321567355733,234,0,56,4,270,2,605,1,0,10,0,2,3,5,0,203,0,0,0,0,3,0,1,0,0,0,1177,114,0.4462809917355372,0.2074074074074074,-16
-4648197002837373632,28,0,10,1,85,4,256,1,0,3,0,0,0,3,0,20,0,0,0,0,1,0,1,0,6,6,400,115,0.33203125,0.11764705882352941,122
-4471155583228856558,10,0,12,1,134,1,402,1,0,0,0,1,0,4,1,6,0,0,0,0,0,0,0,0,0,0,565,117,0.3333333333333333,0.08955223880597014,883
-4366399185271234860,9,0,13,3,352,2,455,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,838,120,0.7736263736263737,0.036931818181818184,47
-4321519843941254985,12,0,9,0,113,0,675,1,0,0,0,1,1,4,0,5,0,0,0,0,0,0,1,0,0,0,814,122,0.1674074074074074,0.07964601769911504,405
-4239042740920878792,8,0,13,0,182,0,482,1,0,0,0,1,2,3,0,0,0,0,0,0,1,0,0,0,0,0,689,125,0.3775933609958506,0.07142857142857142,93
-4223453201399531403,43,0,49,0,622,0,967,1,0,1,0,7,0,4,9,4,0,0,0,0,3,0,1,0,0,0,1686,126,0.6432264736297828,0.07877813504823152,58
-4171777467130422453,4,0,5,0,30,0,529,1,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,572,127,0.05671077504725898,0.16666666666666666,5
-4151725809898180033,24,0,7,0,72,0,542,1,0,0,0,0,2,5,2,13,0,0,0,0,0,0,3,0,0,0,651,128,0.13284132841328414,0.09722222222222222,-61
-4058975275652354016,15,0,12,0,107,0,798,1,1,0,0,1,0,4,0,9,0,0,0,0,1,0,0,0,0,0,938,131,0.13408521303258145,0.11214953271028037,850
-4056808781079647327,102,0,39,2,822,2,634,1,0,2,0,0,9,4,0,80,0,0,1,0,1,0,0,0,0,0,1607,132,1.2965299684542586,0.04744525547445255,350
-3943385539704604019,73,0,24,0,96,0,604,1,0,1,0,0,0,3,0,66,0,0,0,0,0,0,2,0,0,0,801,133,0.15894039735099338,0.25,-734
-3726703148680101841,6,0,3,0,278,0,644,1,0,1,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,936,135,0.43167701863354035,0.01079136690647482,40
-3709517034804563781,31,0,3,0,54,0,70,1,0,3,0,2,1,4,0,9,0,0,0,0,1,0,1,0,0,0,163,136,0.7714285714285715,0.05555555555555555,-174
-3686380349691304905,8,0,45,0,179,0,601,1,0,1,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,837,137,0.2978369384359401,0.25139664804469275,-772
-3654919271345243651,49,0,29,0,273,0,865,1,0,0,0,8,6,5,1,26,0,0,0,0,0,0,0,0,0,0,1222,139,0.315606936416185,0.10622710622710622,-9
-3644005315631254155,25,0,36,0,544,0,481,1,0,1,0,1,0,5,2,18,0,0,0,0,0,0,1,0,0,0,1092,141,1.130977130977131,0.0661764705882353,-623
-3599653692081963666,281,0,7,0,163,0,351,1,0,3,0,24,7,5,0,213,0,0,0,0,0,0,0,0,0,0,808,142,0.46438746438746437,0.04294478527607362,-51
