ACTIVITY_CODE_primary_purchase_club,ACTIVITY_CODE_primary_purchase_ga,ACTIVITY_CODE_primary_purchase_single,ACTIVITY_CODE_primary_purchase_sth,ACTIVITY_CODE_primary_purchase_suite,ACTIVITY_CODE_secondary_purchase,ACTIVITY_CODE_secondary_sale,ACTIVITY_CODE_merch_purchase,perc_open,perc_click,CAMPAIGN_LOST,Totals
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9821428571428572,0.027027027027027025,STNL to BP,170
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,STNL to BP,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,37
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05612244897959184,0.0,STNL to BP,208
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,44
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0941176470588236,0.0967741935483871,STNL to BP,190
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04411764705882353,0.0,STNL to BP,71
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4426229508196722,0.0,STNL to BP,89
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34426229508196715,0.0,STNL to BP,83
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,STNL to BP,37
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08602150537634409,0.125,STNL to BP,104
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15517241379310345,0.0,STNL to BP,68
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28571428571428575,0.0,STNL to BP,11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,STNL to BP,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.827166249053085e-05,0.07758620689655173,0.0,STNL to BP,131
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,STNL to BP,56
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,STNL to BP,1
0.0,0.0,0.0,0.0,0.0,0.00018261504747991235,0.0,0.00018261504747991235,0.05714285714285715,0.0,STNL to BP,74
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,STNL to BP,72
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03375527426160338,0.0,STNL to BP,245
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06091370558375634,0.0,STNL to BP,210
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,STNL to BP,38
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10476190476190476,0.0,STNL to BP,116
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,STNL to BP,51
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285715,0.0,STNL to BP,77
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11627906976744186,0.0,STNL to BP,48
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4659090909090909,0.024390243902439025,STNL to BP,133
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002687449610319807,0.6969696969696969,0.04347826086956522,BP to STH,61
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15104166666666669,0.17241379310344826,STNL to BP,228
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,STNL to BP,104
0.0,0.0,0.0,0.0,0.0,0.0,4.2165626581211e-05,0.0,0.8030303030303031,0.05660377358490566,STNL to BP,154
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5625000000000001,0.07407407407407407,STNL to BP,80
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325,0.0,STNL to BP,108
0.0,0.0,9.238643397603495e-06,0.0,0.0,0.0,0.0,0.0,0.13167259786476868,0.1081081081081081,BP to STH,329
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1836734693877551,0.16666666666666666,STNL to BP,121
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,STNL to BP,3
0.0,0.0,0.0,0.0,0.0,1.9753086419753087e-05,0.0,1.9753086419753087e-05,0.3959731543624161,0.13559322033898305,STNL to BP,225
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011764705882352941,0.0,STNL to BP,87
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,STNL to BP,36
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09876543209876543,0.0,STNL to BP,90
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2241379310344829,0.08450704225352113,STNL to BP,137
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,STNL to BP,52
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28750000000000003,0.0,STNL to BP,103
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.086167800453515e-05,1.0379746835443038,0.04878048780487805,BP to STH,168
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09302325581395347,0.0,STNL to BP,48
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,STNL to BP,59
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3272727272727273,0.0,STNL to BP,74
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03174603174603175,0.0,STNL to BP,65
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2962962962962963,0.125,STNL to BP,72
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47058823529411764,0.0,STNL to BP,75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0547945205479452,0.0,STNL to BP,78
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17045454545454544,0.13333333333333336,STNL to BP,105
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06796116504854369,0.0,STNL to BP,111
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09302325581395349,0.0,STNL to BP,47
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43678160919540227,0.10526315789473685,STNL to BP,131
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7619047619047619,0.0,STNL to BP,59
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.030303030303030304,STNL to BP,144
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28448275862068967,0.0,STNL to BP,161
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2916666666666667,0.0,STNL to BP,32
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,47
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,STNL to BP,169
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,STNL to BP,8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333334,0.0,STNL to BP,187
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23255813953488372,0.09999999999999999,STNL to BP,55
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,STNL to BP,11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,STNL to BP,52
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2142857142857143,0.0,STNL to BP,102
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13432835820895522,0.1111111111111111,STNL to BP,81
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,STNL to BP,32
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44347826086956516,0.058823529411764705,STNL to BP,171
0.0,0.0,0.0,0.0,0.0,0.0009765625,0.0,0.0,0.45,0.1111111111111111,STNL to BP,32
0.0,0.0,0.0,0.0,0.0,1.5378700499807765e-05,0.0,0.0,1.0991735537190084,0.0,STNL to BP,255
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08108108108108107,0.0,STNL to BP,42
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18548387096774194,0.0,STNL to BP,147
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29787234042553196,0.0,STNL to BP,61
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,STNL to BP,65
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3223140495867768e-05,0.01492537313432836,0.0,STNL to BP,275
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,STNL to BP,12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,STNL to BP,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,STNL to BP,46
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27499999999999997,0.0,STNL to BP,52
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,STNL to BP,48
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,STNL to BP,32
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18867924528301888,0.1,BP to STH,64
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07801418439716312,0.09090909090909091,STNL to BP,157
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,STNL to BP,42
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061611374407582936,0.07692307692307693,STNL to BP,226
0.0,0.00011317338162064282,0.0,0.0,0.0,0.0,0.0,0.0,0.1358024691358025,0.0,STNL to BP,94
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,BP to STH,15
0.0,0.0,0.0,0.0,0.0,6.298815822625346e-05,0.0,6.298815822625346e-05,0.025210084033613446,0.0,BP to STH,126
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18644067796610173,0.0,STNL to BP,72
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17829457364341084,0.0,BP to STH,159
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,STNL to BP,62
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35416666666666663,0.0,STNL to BP,131
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8314606741573033,0.0,STNL to BP,164
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.639344262295082,0.0,STNL to BP,101
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,STNL to BP,26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878048780487805,0.025000000000000005,STNL to BP,123
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.039999999999999994,STNL to BP,98
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22950819672131148,0.0,BP to STH,80
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04545454545454545,0.0,STNL to BP,46
