CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,CAMPAIGN_LOST,AVG_TIME_DAYS_purchase,0-200_purchase,200-800_purchase,800+_purchase,no_purchase,percent_open,percent_click
-9135340124860260000,183925,681,0,0,1,0,14,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,STNL to BP,,0,0,0,1,0.18421052631578946,0.07142857142857142
-9133173829533220000,4041,18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,STNL to BP,,0,0,0,1,0.0,
-9132526790263680000,167700,623,1,0,0,0,20,0,60,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,83,STNL to BP,0.0,0,0,1,0,0.3333333333333333,0.0
-9131659193176950000,111141,425,0,0,0,0,9,0,44,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55,STNL to BP,,0,0,0,1,0.20454545454545456,0.0
-9125877098529820000,432323,1671,0,0,0,0,16,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,214,STNL to BP,,0,0,0,1,0.08121827411167512,0.0
-9124802017494390000,234402,877,0,0,1,0,19,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,STNL to BP,,0,0,0,1,0.19791666666666666,0.05263157894736842
-9122946206915550000,163748,577,0,0,0,0,24,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,STNL to BP,,0,0,0,1,0.42105263157894735,0.0
-9119993899555080000,197951,759,0,0,1,0,27,0,69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,BP to STH,,0,0,0,1,0.391304347826087,0.037037037037037035
-9112376958004150000,18169,80,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,STNL to BP,,0,0,0,1,0.0,
-9110130450418360000,220318,841,6,0,6,1,16,1,77,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,109,BP to STH,,0,0,0,1,0.2077922077922078,0.375
-9106789275594020000,113128,426,0,0,0,0,3,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,STNL to BP,,0,0,0,1,0.05660377358490566,0.0
-9105974147267800000,72753,275,0,0,0,0,3,0,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,STNL to BP,,0,0,0,1,0.09375,0.0
-9103704020692830000,204091,745,0,0,0,0,3,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,STNL to BP,,0,0,0,1,0.030612244897959183,0.0
-9103662111032250000,181827,665,0,0,0,0,3,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,STNL to BP,,0,0,0,1,0.034482758620689655,0.0
-9102295113460310000,78774,294,0,0,0,0,2,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,STNL to BP,,0,0,0,1,0.05405405405405406,0.0
-9099305581764320000,117227,480,0,0,0,0,4,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,STNL to BP,,0,0,0,1,0.07407407407407407,0.0
-9099186439833010000,131400,539,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,STNL to BP,,0,0,0,1,0.0,
-9091992196727950000,317224,1238,2,0,5,0,50,0,98,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,157,STNL to BP,17.0,1,0,0,0,0.5102040816326531,0.1
-9091622007276560000,282606,1101,8,1,0,0,76,1,54,0,0,0,1,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,140,STNL to BP,827.0,0,0,1,0,1.4074074074074074,0.0
-9089972943543480000,537657,1874,0,0,13,0,160,0,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,266,BP to STH,,0,0,0,1,1.7391304347826086,0.08125
-9083861086642960000,452696,1758,5,0,6,0,121,0,92,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,224,STNL to BP,0.0,0,0,1,0,1.315217391304348,0.049586776859504134
-9082916968247020000,58623,225,0,0,1,1,8,1,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,STNL to BP,,0,0,0,1,0.47058823529411764,0.125
-9082892854321140000,509088,1965,0,0,0,0,17,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,STNL to BP,,0,0,0,1,0.07234042553191489,0.0
-9079559145603840000,76803,292,0,0,0,0,1,0,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,STNL to BP,,0,0,0,1,0.027777777777777776,0.0
-9075775869044440000,143456,544,0,0,0,0,12,0,57,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,71,STNL to BP,,0,0,0,1,0.21052631578947367,0.0
-9074597576514800000,131404,500,0,0,0,0,22,0,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65,STNL to BP,,0,0,0,1,0.5238095238095238,0.0
-9073860935808760000,468752,1921,1,0,1,0,17,0,213,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,STNL to BP,0.0,0,0,1,0,0.07981220657276995,0.058823529411764705
-9070705000368630000,169614,647,0,0,0,0,38,0,45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84,STNL to BP,,0,0,0,1,0.8444444444444444,0.0
-9070141407250860000,74764,291,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,STNL to BP,,0,0,0,1,0.0,
-9066312756031300000,242540,906,0,0,0,0,0,0,117,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,120,STNL to BP,,0,0,0,1,0.0,
-9064083346981290000,224334,862,3,0,0,0,5,0,101,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,111,STNL to BP,0.0,0,0,1,0,0.04950495049504951,0.0
-9063360039229430000,193964,792,0,0,0,0,0,0,95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,96,STNL to BP,,0,0,0,1,0.0,
-9062313049686070000,78821,283,0,0,0,0,0,0,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39,STNL to BP,,0,0,0,1,0.0,
-9061811078491170000,553334,1986,0,0,4,0,141,0,126,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,274,STNL to BP,,0,0,0,1,1.119047619047619,0.028368794326241134
-9060367440245710000,183726,689,0,0,0,0,34,0,55,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,91,STNL to BP,,0,0,0,1,0.6181818181818182,0.0
-9059795855721730000,335211,1261,0,0,0,0,64,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,STNL to BP,,0,0,0,1,0.6274509803921569,0.0
-9057394223369230000,410075,1558,0,0,1,0,17,0,184,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,203,STNL to BP,,0,0,0,1,0.09239130434782608,0.058823529411764705
-9055623292428120000,80848,306,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,STNL to BP,,0,0,0,1,0.0,
-9053663487547030000,32289,122,0,0,0,0,8,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,STNL to BP,,0,0,0,1,1.1428571428571428,0.0
-9051815994568110000,153585,606,0,0,1,0,14,0,60,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,76,STNL to BP,,0,0,0,1,0.23333333333333334,0.07142857142857142
-9050228401953070000,12104,60,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,STNL to BP,,0,0,0,1,0.0,
-9042636493948470000,383915,1387,3,0,2,1,33,0,147,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,190,BP to STH,74.0,1,0,0,0,0.22448979591836735,0.06060606060606061
-9042020665792750000,10115,36,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,STNL to BP,,0,0,0,1,0.0,
-9040637841836220000,26255,132,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,STNL to BP,,0,0,0,1,0.0,
-9040186546145990000,90955,336,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,STNL to BP,,0,0,0,1,0.0,
-9039277127145240000,317284,1309,20,2,3,0,40,0,91,0,0,0,2,3,1,0,7,0,0,0,0,0,0,1,1,0,0,0,157,STNL to BP,621.0,0,1,0,0,0.43956043956043955,0.075
-9038257846757470000,242365,996,2,0,3,0,51,0,63,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,120,STNL to BP,0.0,0,0,1,0,0.8095238095238095,0.058823529411764705
-9036987208130000000,56564,233,0,0,0,0,10,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,STNL to BP,,0,0,0,1,0.5555555555555556,0.0
-9036639224216210000,167779,633,1,0,0,0,15,0,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,STNL to BP,,0,0,0,1,0.22727272727272727,0.0
-9035677322885030000,200024,784,0,0,0,0,16,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,STNL to BP,,0,0,0,1,0.1927710843373494,0.0
