CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_receipt,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,AVG_TIME_DAYS_purchase,0-200_purchase,200-800_purchase,800+_purchase,no_purchase,percent_open,percent_click
-8761847915645197572,594201,2235,1,0,2,0,93,0,194,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,294,0.0,0,0,1,0,0.4793814432989691,0.021505376344086023
-8754859049603320799,529664,2042,3,0,3,0,38,0,213,1,0,0,0,2,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,262,302.0,0,1,0,0,0.1784037558685446,0.07894736842105263
-8743233568226124925,1778522,5905,1,0,17,0,318,0,539,1,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,880,0.0,0,0,1,0,0.5899814471243042,0.05345911949685535
-8737773349874750977,1038677,3957,16,0,2,0,24,0,468,1,0,15,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,514,0.0,0,0,1,0,0.05128205128205128,0.08333333333333333
-8716738120547681260,707469,2713,2,3,8,4,98,3,227,1,0,1,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,350,15.0,1,0,0,0,0.43171806167400884,0.08163265306122448
-8698335653890176345,3079313,12333,530,9,42,0,302,0,634,1,0,7,3,13,40,5,1,435,0,0,1,1,2,0,1,8,0,0,0,1523,73.0,1,0,0,0,0.47634069400630913,0.1390728476821192
-8691905799013931011,791987,3020,1,0,4,0,105,0,278,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,392,0.0,0,0,1,0,0.3776978417266187,0.0380952380952381
-8668197940047963192,1978993,6763,48,0,7,0,297,0,620,1,0,7,0,0,0,4,0,41,0,0,0,0,1,0,0,0,1,0,0,979,0.0,0,0,1,0,0.4790322580645161,0.02356902356902357
-8667406148939055245,1115323,4247,2,0,9,0,97,0,440,1,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,552,0.0,0,0,1,0,0.22045454545454546,0.09278350515463918
-8664195521670738781,687502,2769,7,0,12,0,59,0,258,1,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,340,139.0,1,0,0,0,0.22868217054263565,0.2033898305084746
-8654484719259980981,1493574,5666,2,5,28,2,152,2,544,1,0,1,3,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,739,44.0,1,0,0,0,0.27941176470588236,0.18421052631578946
-8647450802368276027,1137640,4510,27,8,6,0,234,0,281,1,0,1,0,2,4,5,1,21,0,0,0,1,1,0,0,0,0,0,0,563,458.0,0,1,0,0,0.8327402135231317,0.02564102564102564
-8629698722701202193,1006448,4028,5,0,2,0,56,0,430,1,0,0,0,0,1,4,2,0,0,0,1,0,0,0,1,0,0,0,0,498,285.0,0,1,0,0,0.13023255813953488,0.03571428571428571
-8606478271437495655,495806,1678,31,4,10,0,48,0,148,0,0,4,0,4,3,3,0,0,0,0,1,1,4,0,2,1,0,0,0,245,96.0,1,0,0,0,0.32432432432432434,0.20833333333333334
-8591481692704012845,1196380,4618,33,0,17,0,222,0,315,1,0,2,0,5,1,4,0,12,0,0,0,0,3,0,0,0,0,0,0,592,315.0,0,1,0,0,0.7047619047619048,0.07657657657657657
-8580755919297455556,2778096,11486,267,0,25,0,628,0,447,2,1,6,0,3,13,4,4,227,0,0,2,0,0,0,0,1,0,0,0,1374,161.0,1,0,0,0,1.4049217002237135,0.03980891719745223
-8546533608309001228,2121923,8476,1,0,34,0,243,0,764,2,1,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,1050,0.0,0,0,1,0,0.3180628272251309,0.13991769547325103
-8508303341002541167,1335652,5207,16,0,4,0,89,0,548,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,2,0,0,0,0,661,634.0,0,1,0,0,0.1624087591240876,0.0449438202247191
-8504782148214780538,1742161,6519,41,3,30,3,322,4,454,1,0,2,0,1,3,3,2,0,0,0,2,0,3,0,7,0,0,0,0,862,154.0,1,0,0,0,0.7092511013215859,0.09316770186335403
-8503151941489618069,537763,2098,1,0,2,0,8,0,251,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,266,0.0,0,0,1,0,0.03187250996015936,0.25
-8496766499477116066,1361878,5139,7,0,15,0,156,0,492,1,0,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,674,380.0,0,1,0,0,0.3170731707317073,0.09615384615384616
-8490219733382874094,848653,3287,1,0,17,0,166,0,230,1,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,420,0.0,0,0,1,0,0.7217391304347827,0.10240963855421686
-8487590032822151634,719542,2611,1,0,5,0,167,0,178,1,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,356,0.0,0,0,1,0,0.9382022471910112,0.029940119760479042
-8471752475326293067,279223,1009,16,0,12,1,75,1,31,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,3,0,0,0,0,138,436.0,0,1,0,0,2.4193548387096775,0.16
-8470465205389797469,899144,3393,1,0,1,0,173,0,266,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,445,0.0,0,0,1,0,0.650375939849624,0.005780346820809248
-8466535334944449383,1560644,5725,7,0,10,0,153,0,597,1,0,1,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,772,709.0,0,1,0,0,0.2562814070351759,0.06535947712418301
-8444785700959345473,1233202,4617,18,0,12,0,163,0,413,1,0,2,0,0,0,3,1,0,0,0,0,0,1,0,5,0,0,0,0,610,162.0,1,0,0,0,0.3946731234866828,0.0736196319018405
-8442870470687860020,1318028,5108,188,0,13,0,203,0,242,1,0,2,0,2,0,4,0,183,0,0,1,0,0,0,0,0,0,0,0,652,746.0,0,1,0,0,0.8388429752066116,0.06403940886699508
-8441879487518339884,1032569,3840,5,0,13,0,43,0,446,1,0,2,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,511,1816.0,0,0,1,0,0.09641255605381166,0.3023255813953488
-8434405198805397228,1644763,6605,59,0,10,0,176,1,563,1,0,1,0,2,0,4,2,35,0,0,1,0,0,0,2,0,0,0,0,814,302.0,0,1,0,0,0.31261101243339257,0.056818181818181816
-8425367166596623971,1386179,5400,9,0,16,1,138,1,516,1,0,1,0,1,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,686,318.0,0,1,0,0,0.26744186046511625,0.11594202898550725
-8421449020456031357,535293,2120,11,3,2,0,88,0,156,1,1,1,1,2,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,265,196.0,1,0,0,0,0.5641025641025641,0.022727272727272728
-8388087203410925027,790375,2942,1,0,5,0,61,1,319,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,391,0.0,0,0,1,0,0.19122257053291536,0.08196721311475409
-8336255314515822106,2392194,8943,7,0,92,0,670,0,411,1,0,1,0,1,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1184,717.0,0,1,0,0,1.6301703163017032,0.1373134328358209
-8300968251705359994,616742,2183,1,0,6,0,91,0,202,1,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,305,0.0,0,0,1,0,0.4504950495049505,0.06593406593406594
-8284081570159496163,471469,1841,11,0,8,0,47,0,160,1,1,6,0,0,0,4,0,0,0,0,0,0,1,0,2,0,1,0,0,233,880.0,0,0,1,0,0.29375,0.1702127659574468
-8254778830971989889,980528,3994,26,0,41,1,30,0,383,1,0,0,0,10,5,3,1,0,0,0,0,0,1,0,1,0,0,0,0,485,193.0,1,0,0,0,0.0783289817232376,1.3666666666666667
-8246982033063576396,2677751,10606,41,1,37,0,446,0,795,1,0,0,1,0,0,4,0,36,0,0,0,0,2,0,0,0,0,0,0,1325,722.0,0,1,0,0,0.5610062893081761,0.08295964125560538
-8228509005928035092,1814773,6908,15,0,35,0,175,1,667,1,0,11,0,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,898,219.0,0,1,0,0,0.2623688155922039,0.2
-8227684485649696277,715346,2569,1,0,8,0,109,0,231,1,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,354,0.0,0,0,1,0,0.47186147186147187,0.07339449541284404
-8226556503917153620,727421,2718,2,0,5,0,107,0,241,1,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,360,1417.0,0,0,1,0,0.44398340248962653,0.04672897196261682
-8210568725332993334,3538676,13025,622,6,0,0,684,1,429,1,0,3,0,2,92,6,0,307,0,0,3,2,1,0,5,16,0,2,0,1752,83.0,1,0,0,0,1.5944055944055944,0.0
-8205275893316016021,982108,3687,2,0,21,3,26,3,427,1,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,486,0.0,0,0,1,0,0.06088992974238876,0.8076923076923077
-8202199474065306875,74818,391,30,0,0,0,1,0,3,1,0,0,0,2,0,2,0,16,0,0,1,0,1,0,0,0,0,0,0,37,729.0,0,1,0,0,0.3333333333333333,0.0
-8195284402187019503,1668824,6060,28,0,5,0,539,0,250,1,0,0,0,1,11,3,0,0,0,0,0,0,0,0,6,8,0,0,0,826,134.0,1,0,0,0,2.156,0.00927643784786642
-8194436688611973519,1547803,5910,20,0,13,5,230,3,491,1,0,0,0,7,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,766,256.0,0,1,0,0,0.4684317718940937,0.05652173913043478
-8190499318746573159,5340638,19744,83,0,20,0,1256,0,1280,1,0,0,0,0,0,3,0,75,0,0,0,0,3,0,0,0,0,0,0,2643,719.0,0,1,0,0,0.98125,0.01592356687898089
-8159782534830694881,6149970,23446,372,0,92,26,1821,22,701,1,0,2,0,0,4,4,5,307,0,0,4,0,1,0,0,0,1,1,0,3042,192.0,1,0,0,0,2.5977175463623396,0.050521691378363535
-8142035301243955785,1546580,5205,6,0,29,0,233,0,492,1,0,2,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,765,330.0,0,1,0,0,0.4735772357723577,0.12446351931330472
-8120481864991788040,635247,2858,143,0,2,1,78,1,88,0,0,0,0,0,4,1,0,117,0,0,0,0,0,0,0,0,0,0,0,314,,0,0,0,1,0.8863636363636364,0.02564102564102564
-8109889972808562402,814491,3192,4,0,10,0,71,0,314,1,0,0,0,1,1,2,0,0,0,0,0,0,2,0,0,0,1,0,0,403,195.0,1,0,0,0,0.22611464968152867,0.14084507042253522
-8094583847635862060,1184095,4390,8,0,11,0,136,0,426,1,0,1,0,0,0,4,1,0,0,0,0,0,1,0,1,0,0,0,0,586,938.0,0,0,1,0,0.3192488262910798,0.08088235294117647
-8086342847775866928,2184526,8142,19,0,42,0,419,0,595,1,0,4,0,3,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,1081,245.0,0,1,0,0,0.704201680672269,0.10023866348448687
-8078686549087937770,1703912,6532,12,0,16,1,92,1,718,1,0,2,0,1,0,2,2,0,0,0,0,0,1,0,1,0,0,0,0,843,201.0,0,1,0,0,0.12813370473537605,0.17391304347826086
-8060698176840469727,1053166,3868,36,4,20,4,80,3,369,1,0,1,0,4,1,4,0,14,0,0,1,1,1,0,3,0,0,0,0,521,238.0,0,1,0,0,0.21680216802168023,0.25
-8049469528423341279,1026490,3626,20,0,7,0,197,0,279,1,0,3,0,3,0,3,0,0,0,0,0,0,1,0,3,0,0,0,0,508,307.0,0,1,0,0,0.7060931899641577,0.03553299492385787
-8036156559257134594,2773558,10300,25,0,75,1,629,1,636,1,0,5,0,0,0,3,0,0,0,0,1,0,6,0,0,0,1,0,0,1372,343.0,0,1,0,0,0.9889937106918238,0.1192368839427663
-7999962760923763340,256984,954,25,0,9,1,73,1,14,1,0,0,0,0,0,3,0,24,0,0,0,0,1,0,0,0,0,0,0,127,0.0,0,0,1,0,5.214285714285714,0.1232876712328767
-7987082743647019833,1392809,5254,14,0,1,0,112,0,558,1,0,1,0,3,0,3,5,0,0,0,1,0,0,0,0,0,0,0,0,689,234.0,0,1,0,0,0.2007168458781362,0.008928571428571428
-7954452741111858762,2936873,10963,27,0,38,0,558,0,825,1,0,1,0,9,5,4,1,0,0,0,1,0,1,0,0,0,0,0,0,1453,119.0,1,0,0,0,0.6763636363636364,0.06810035842293907
-7950430934014921668,1323970,5298,128,0,4,0,158,0,358,1,0,1,0,12,14,5,1,80,0,0,1,0,0,0,1,4,0,0,0,655,99.0,1,0,0,0,0.441340782122905,0.02531645569620253
-7942151079556060578,1150119,4601,66,0,5,0,52,0,440,1,0,1,0,1,0,5,7,52,0,0,1,0,0,0,0,0,0,0,0,569,205.0,0,1,0,0,0.11818181818181818,0.09615384615384616
-7936748442244538947,1202171,4582,2,0,12,0,109,0,468,1,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,595,0.0,0,0,1,0,0.2329059829059829,0.11009174311926606
-7929873947542663624,515300,1959,1,0,1,0,21,0,228,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,255,0.0,0,0,1,0,0.09210526315789473,0.047619047619047616
-7929492065665977601,1656975,6250,12,4,32,0,245,0,523,1,0,2,0,0,1,3,1,0,0,0,1,0,0,0,4,0,0,0,0,820,159.0,1,0,0,0,0.4684512428298279,0.1306122448979592
-7922644613078855611,1794326,6821,21,0,13,0,383,1,465,1,0,0,0,0,0,4,0,17,0,0,0,0,2,0,0,0,0,0,0,888,2156.0,0,0,1,0,0.8236559139784946,0.033942558746736295
-7911684074650946025,1594444,6118,2,0,25,2,368,1,387,1,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,789,0.0,0,0,1,0,0.9509043927648578,0.06793478260869565
-7895657056071881125,107251,466,39,0,2,0,1,1,7,1,0,1,0,0,0,2,1,36,0,0,1,0,0,0,0,0,0,0,0,53,144.0,1,0,0,0,0.14285714285714285,2.0
-7889657205615840091,402283,1437,9,0,23,0,68,0,96,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,199,385.0,0,1,0,0,0.7083333333333334,0.3382352941176471
-7878186727858256148,151729,535,9,0,2,0,26,0,34,1,0,1,0,2,1,2,0,3,0,0,0,0,1,0,0,0,0,0,0,75,59.0,1,0,0,0,0.7647058823529411,0.07692307692307693
-7874893779727953671,3309784,12576,65,0,67,3,801,3,691,1,0,6,0,1,1,6,6,16,0,0,2,0,10,0,2,0,1,0,0,1638,108.0,1,0,0,0,1.1591895803183792,0.08364544319600499
-7869797483766675357,1123313,4345,30,0,18,0,218,4,281,1,0,2,0,0,13,4,1,0,0,0,1,0,0,0,0,0,0,0,0,556,38.0,1,0,0,0,0.7758007117437722,0.08256880733944955
-7841404176672672803,398475,1464,1,0,2,0,9,0,180,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,197,0.0,0,0,1,0,0.05,0.2222222222222222
-7840757336425538432,258953,812,2,0,11,0,30,1,82,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,128,0.0,0,0,1,0,0.36585365853658536,0.36666666666666664
-7827163440753447972,899508,3495,36,0,8,0,66,0,329,1,0,4,0,1,0,5,0,28,0,0,1,0,0,0,0,0,0,0,0,445,116.0,1,0,0,0,0.2006079027355623,0.12121212121212122
-7825459830002703589,980214,3771,1,6,7,0,32,0,435,1,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,485,589.0,0,1,0,0,0.0735632183908046,0.21875
-7822246916889681997,1879912,7450,72,0,23,0,277,0,553,1,0,2,0,1,0,4,0,63,0,0,0,0,2,0,1,0,0,0,0,930,398.0,0,1,0,0,0.5009041591320073,0.08303249097472924
-7815381130120038023,1273733,4069,3,0,33,4,322,2,262,1,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,630,0.0,0,0,1,0,1.2290076335877862,0.10248447204968944
-7812919873301472288,731621,2763,2,0,7,0,88,0,261,1,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,362,0.0,0,0,1,0,0.3371647509578544,0.07954545454545454
-7806116876150689007,901132,3416,1,0,4,0,36,0,401,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,446,0.0,0,0,1,0,0.08977556109725686,0.1111111111111111
