CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,CAMPAIGN_LOST,AVG_TIME_DAYS_purchase,0-200_purchase,200-800_purchase,800+_purchase,no_purchase,percent_open,percent_click,Avg_Engagement_per_visit
-9125877098529820000,442480,1650,0,0,3,0,7,0,208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,STNL to BP,,0,0,0,1,0.03365384615384615,0.42857142857142855,0.0
-9124802017494390000,230371,890,0,0,1,0,21,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,STNL to BP,,0,0,0,1,0.22826086956521738,0.047619047619047616,0.0
-9122946206915550000,179912,677,0,0,0,0,41,0,46,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,89,STNL to BP,,0,0,0,1,0.8913043478260869,0.0,0.0
-9119993899555080000,208030,878,2,0,3,0,38,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,103,BP to STH,15.0,1,0,0,0,0.6333333333333333,0.07894736842105263,0.0
-9112376958004150000,16147,72,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,STNL to BP,,0,0,0,1,0.0,,0.0
-9110130450418360000,189985,698,2,0,3,1,16,0,71,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,94,BP to STH,,0,0,0,1,0.22535211267605634,0.1875,1.0
-9107228278260040000,4030,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,STNL to BP,,0,0,0,1,,,0.0
-9106789275594020000,121268,434,0,0,0,0,4,0,55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60,STNL to BP,,0,0,0,1,0.07272727272727272,0.0,0.0
-9105974147267800000,70732,288,0,0,0,0,3,0,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,STNL to BP,,0,0,0,1,0.0967741935483871,0.0,0.0
-9103704020692830000,155581,619,0,0,0,0,2,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,STNL to BP,,0,0,0,1,0.02666666666666667,0.0,0.0
-9103662111032250000,171755,650,0,0,0,0,7,0,76,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85,STNL to BP,,0,0,0,1,0.09210526315789473,0.0,0.0
-9102295113460310000,121221,417,0,0,0,0,0,0,58,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,STNL to BP,,0,0,0,1,0.0,,0.0
-9099305581764320000,151571,611,0,0,0,0,6,0,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,STNL to BP,,0,0,0,1,0.08823529411764706,0.0,0.0
-9099186439833010000,133429,530,0,0,0,0,0,0,64,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66,STNL to BP,,0,0,0,1,0.0,,0.0
-9091992196727950000,345476,1385,3,1,1,0,66,0,99,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,STNL to BP,698.0,0,1,0,0,0.6666666666666666,0.015151515151515152,0.0
-9091622007276560000,258452,1016,19,1,0,1,63,0,44,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,128,STNL to BP,,0,0,0,1,1.4318181818181819,0.0,5.0
-9089972943543480000,525550,1786,0,0,10,0,167,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,BP to STH,,0,0,0,1,2.0120481927710845,0.059880239520958084,0.0
-9083861086642960000,468839,1833,6,0,4,0,114,0,107,0,0,0,0,0,1,1,4,0,0,1,0,0,0,0,0,0,0,0,232,STNL to BP,1689.0,0,0,1,0,1.0654205607476634,0.03508771929824561,4.0
-9082916968247020000,56596,228,0,0,3,0,7,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,STNL to BP,,0,0,0,1,0.4117647058823529,0.42857142857142855,0.0
-9082892854321140000,496986,1775,0,0,0,0,15,0,229,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,246,STNL to BP,,0,0,0,1,0.06550218340611354,0.0,0.0
-9079559145603840000,82854,292,0,0,0,0,0,0,39,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41,STNL to BP,,0,0,0,1,0.0,,0.0
-9075775869044440000,115174,431,0,0,0,0,12,0,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,57,STNL to BP,,0,0,0,1,0.2727272727272727,0.0,0.0
-9074597576514800000,153595,606,0,0,0,0,26,0,48,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,76,STNL to BP,,0,0,0,1,0.5416666666666666,0.0,0.0
-9073860935808760000,460663,1876,3,0,0,0,18,0,204,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,228,STNL to BP,0.0,0,0,1,0,0.08823529411764706,0.0,0.0
-9070705000368630000,153530,567,0,0,0,0,25,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,STNL to BP,,0,0,0,1,0.49019607843137253,0.0,0.0
-9070141407250860000,113108,455,0,0,0,0,2,0,52,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56,STNL to BP,,0,0,0,1,0.038461538461538464,0.0,0.0
-9066312756031300000,202130,806,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,STNL to BP,,0,0,0,1,0.0,,0.0
-9064083346981290000,187916,723,2,0,0,0,5,0,85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,93,STNL to BP,,0,0,0,1,0.058823529411764705,0.0,0.0
-9063360039229430000,157616,630,0,0,0,0,0,0,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,STNL to BP,,0,0,0,1,0.0,,0.0
-9062313049686070000,84895,341,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,STNL to BP,,0,0,0,1,0.0,,0.0
-9061811078491170000,464518,1770,0,0,8,0,117,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,STNL to BP,,0,0,0,1,1.1142857142857143,0.06837606837606838,0.0
-9060367440245710000,189772,828,0,0,0,0,32,0,61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,94,STNL to BP,,0,0,0,1,0.5245901639344263,0.0,0.0
-9059795855721730000,315036,1337,0,0,0,0,62,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,STNL to BP,,0,0,0,1,0.6595744680851063,0.0,0.0
-9057394223369230000,395879,1643,0,0,0,0,20,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,STNL to BP,,0,0,0,1,0.11363636363636363,0.0,0.0
-9055623292428120000,60624,255,0,0,0,0,0,0,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,STNL to BP,,0,0,0,1,0.0,,0.0
-9053663487547030000,32292,122,2,0,0,0,8,0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,16,STNL to BP,309.0,0,1,0,0,1.3333333333333333,0.0,0.0
-9051815994568110000,137405,506,0,0,0,0,7,0,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,STNL to BP,,0,0,0,1,0.11666666666666667,0.0,0.0
