CUSTOMER_KEY,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_receipt,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,text_incoming_from_customer,text_outgoing_to_customer,Totals,AVG_TIME_DAYS_purchase,0-200_purchase,200-800_purchase,800+_purchase,no_purchase,percent_open,percent_click
-8049229478301472368,564,0,56,13,1433,8,924,1,1,1,0,2,1,4,11,520,0,0,0,0,4,0,3,0,0,0,3004,92.0,1,0,0,0,1.550865800865801,0.039078855547801813
-8037488590670368599,268,0,4,0,32,0,233,1,0,0,0,2,1,4,1,251,0,0,0,0,2,0,2,0,0,0,542,242.0,0,1,0,0,0.13733905579399142,0.125
-8006093595710719691,8,0,13,0,95,0,266,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,386,6.0,1,0,0,0,0.35714285714285715,0.1368421052631579
-7996578165159496962,65,0,19,2,43,2,362,1,0,1,0,11,2,3,0,26,0,0,0,0,0,0,0,0,0,0,497,151.0,1,0,0,0,0.11878453038674033,0.4418604651162791
-7980281280322329922,78,0,23,0,381,0,567,1,0,2,0,3,0,4,0,69,0,0,0,0,1,0,0,0,0,0,1054,138.0,1,0,0,0,0.671957671957672,0.06036745406824147
-7859634946791141915,2,0,17,4,105,4,312,1,1,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,450,0.0,0,0,1,0,0.33653846153846156,0.1619047619047619
-7831089669626833044,35,0,15,0,82,0,220,1,0,1,0,2,1,3,0,0,0,0,0,0,2,0,10,2,0,0,356,123.0,1,0,0,0,0.37272727272727274,0.18292682926829268
-7767978990747320864,8,0,4,0,63,0,335,1,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,415,,0,0,0,1,0.1880597014925373,0.06349206349206349
-7727440583793414975,1,0,53,1,1035,0,1120,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2214,,0,0,0,1,0.9241071428571429,0.051207729468599035
-7711708169338796633,0,0,10,0,32,0,104,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,150,,0,0,0,1,0.3076923076923077,0.3125
