CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_sth,secondary_purchase,secondary_sale,text_incoming_from_customer,Totals,CAMPAIGN_LOST,AVG_TIME_DAYS_purchase,0-200_purchase,200-800_purchase,800+_purchase,percent_open,percent_click
-3855265102936360000,517494,2144,144,0,4,0,34,0,74,0,0,0,0,8,0,6,119,0,0,0,0,2,0,2,0,256,STNL to BP,229.0,0,1,0,0.4594594594594595,0.11764705882352941
-3635971640401020000,507727,1834,60,0,23,1,73,1,93,0,0,5,0,1,0,0,45,0,0,0,1,2,0,0,0,251,BP to STH,297.0,0,1,0,0.7849462365591398,0.3150684931506849
-3617512968313550000,378194,1475,83,0,3,0,57,0,44,0,0,0,0,5,0,0,65,0,0,0,0,9,0,0,0,187,STNL to BP,111.0,1,0,0,1.2954545454545454,0.05263157894736842
-3211163107773480000,151763,438,40,0,5,2,6,1,20,0,0,3,0,0,1,1,32,0,0,0,0,1,0,2,0,75,STNL to BP,64.0,1,0,0,0.3,0.8333333333333334
-3177697347150650000,115330,386,16,0,2,0,2,1,36,0,0,0,0,5,0,0,0,0,0,0,0,6,0,3,0,57,STNL to BP,10.0,1,0,0,0.05555555555555555,1.0
-3085494572020240000,305232,904,4,0,1,0,52,0,94,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,151,STNL to BP,1456.0,0,0,1,0.5531914893617021,0.019230769230769232
-2985255302965050000,442641,1709,53,0,1,0,93,0,71,0,0,0,0,4,1,0,45,0,0,0,0,2,0,0,0,219,STNL to BP,729.0,0,1,0,1.3098591549295775,0.010752688172043012
-2826326339081720000,400416,1555,101,0,0,0,62,0,35,0,0,0,0,3,0,0,96,0,0,0,0,1,0,0,0,198,BP to STH,0.0,0,0,1,1.7714285714285714,0.0
-2810026639839440000,178064,555,33,0,17,0,16,0,22,0,0,0,0,0,0,0,27,0,0,0,0,1,0,5,0,88,STNL to BP,34.0,1,0,0,0.7272727272727273,1.0625
-2727327077622850000,240758,943,96,0,0,0,0,0,23,0,0,0,1,3,0,0,89,0,0,0,0,1,0,0,0,119,BP to STH,62.0,1,0,0,0.0,
-2530589426755820000,52521,173,10,0,0,0,5,0,10,0,0,0,0,0,1,0,2,0,0,0,0,3,0,5,0,26,STNL to BP,258.0,0,1,0,0.5,0.0
-2399213078742300000,52449,213,1,0,0,0,11,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,STNL to BP,0.0,0,0,1,0.7857142857142857,0.0
-2391493692381240000,212016,785,7,0,3,0,15,0,80,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,105,STNL to BP,727.0,0,1,0,0.1875,0.2
-2291493129650890000,88797,378,10,0,0,0,6,0,28,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,44,STNL to BP,40.0,1,0,0,0.21428571428571427,0.0
