CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_unsub,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_single,primary_purchase_sth,secondary_sale,text_incoming_from_customer,text_outgoing_to_customer,Totals,CAMPAIGN_LOST,AVG_TIME_DAYS_purchase,0-200_purchase,200-800_purchase,800+_purchase,percent_open,percent_click
2333101661192158738,80825,338,3,0,0,0,11,0,25,1,0,0,0,0,0,0,0,0,0,2,1,0,0,40,STNL to BP,364.0,0,1,0,0.44,0.0
2430652856940440753,277169,1233,97,0,1,0,10,0,29,0,0,0,3,0,0,91,0,0,0,1,0,0,0,137,BP to STH,0.0,0,0,1,0.3448275862068966,0.1
2513991737160357735,205957,854,6,0,0,0,37,0,59,0,0,0,0,0,0,0,0,0,0,2,3,0,0,102,STNL to BP,222.0,0,1,0,0.6271186440677966,0.0
2517967177670941566,102894,302,1,0,0,0,16,0,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,51,BP to STH,0.0,0,0,1,0.47058823529411764,0.0
2524057064967838273,505286,2112,1,0,3,0,192,0,54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,250,STNL to BP,0.0,0,0,1,3.5555555555555554,0.015625
2794816249922528665,293205,1247,108,0,3,0,2,0,32,0,0,0,2,0,0,103,0,0,0,1,1,0,0,145,STNL to BP,88.0,1,0,0,0.0625,1.5
2854464749835862147,307288,1144,43,0,0,0,26,0,83,0,0,0,1,0,0,39,0,0,0,2,1,0,0,152,STNL to BP,364.0,0,1,0,0.3132530120481928,0.0
3079049637591801351,165826,643,29,0,2,0,7,0,44,0,0,0,2,0,0,25,0,0,0,1,0,0,0,82,STNL to BP,0.0,0,0,1,0.1590909090909091,0.2857142857142857
3446703513997072692,84845,384,1,0,0,0,4,0,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,42,STNL to BP,0.0,0,0,1,0.10810810810810811,0.0
3787727130846742563,96858,402,7,0,0,0,2,0,39,0,0,0,0,0,0,0,0,0,0,2,0,0,0,48,STNL to BP,352.0,0,1,0,0.05128205128205128,0.0
