primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,merch_purchase,percent_open,percent_click,Totals
1,0,0,0,0,0,0,0.17307692307692307,0.4444444444444444,72
1,0,1,0,0,0,1,0.5443786982248521,0.043478260869565216,562
1,0,0,0,0,0,0,0.028694404591104734,0.0,722
0,0,1,0,0,0,0,0.759493670886076,0.016666666666666666,148
1,1,1,0,1,0,0,1.0232558139534884,0.0,280
1,0,0,0,1,1,0,0.27986348122866894,0.036585365853658534,386
0,0,1,0,0,0,0,0.20863309352517986,0.0,172
1,0,0,0,0,0,0,0.48951048951048953,0.02857142857142857,221
2,0,0,0,0,0,0,0.342042755344418,0.1597222222222222,948
1,0,0,0,0,0,0,0.03424657534246575,0.0,317
1,0,0,0,0,0,0,,,3
1,0,0,0,2,0,2,0.1896551724137931,0.09090909090909091,105
1,0,0,0,1,0,0,0.7807017543859649,0.016853932584269662,422
0,1,1,0,0,0,0,0.6559139784946236,0.16393442622950818,201
1,0,0,0,1,0,12,0.2853333333333333,0.0,506
0,0,1,0,0,0,0,0.8333333333333334,0.0,22
0,0,1,0,0,0,0,0.1013215859030837,0.21739130434782608,260
1,0,0,0,0,1,0,0.386046511627907,0.024096385542168676,622
1,0,0,0,0,0,0,0.18181818181818182,0.0,69
1,0,0,0,1,0,0,0.1414141414141414,0.07142857142857142,120
1,0,0,0,0,0,0,0.06901408450704226,0.061224489795918366,775
0,0,1,0,0,0,0,0.39285714285714285,0.0,197
0,0,2,0,0,0,0,0.1590909090909091,0.0,62
0,0,1,0,0,0,0,1.0,0.07563025210084033,251
1,0,0,0,0,0,0,0.18243243243243243,0.0,179
0,0,3,0,11,1,0,0.4444444444444444,0.12121212121212122,501
0,0,1,0,0,0,0,0.018970189701897018,0.0,382
1,0,1,0,3,0,0,0.36134453781512604,0.046511627906976744,417
1,0,0,0,1,0,0,0.20118343195266272,0.23529411764705882,223
1,0,1,0,1,0,17,0.3561301084236864,0.06088992974238876,2274
1,0,0,0,0,0,0,0.05311355311355311,0.06896551724137931,582
1,0,0,0,0,0,0,0.8292682926829268,0.08823529411764706,162
0,0,1,0,0,0,0,,,3
1,0,4,0,1,1,0,1.2334494773519165,0.16666666666666666,783
0,0,0,0,0,6,0,0.3333333333333333,0.0,348
2,0,3,0,1,0,1,0.43243243243243246,0.25,204
1,0,4,0,0,0,0,0.27807486631016043,0.057692307692307696,261
0,0,1,0,0,0,0,0.09345794392523364,0.05,253
0,0,1,0,0,0,0,0.4117647058823529,0.9523809523809523,96
1,0,0,0,1,0,0,0.03571428571428571,1.0,102
1,0,1,0,0,0,0,0.15217391304347827,0.0,64
1,0,0,0,0,0,0,0.056451612903225805,0.0,134
1,0,0,0,0,0,0,1.8461538461538463,0.041666666666666664,56
1,0,0,0,0,0,1,0.6,0.0,40
0,0,0,0,0,0,0,0.4166666666666667,0.0,24
1,0,0,0,0,0,0,0.058577405857740586,0.21428571428571427,272
0,0,1,0,1,0,6,0.14227642276422764,0.0,296
1,0,0,0,0,0,0,,,3
0,1,1,0,2,0,0,0.09848484848484848,0.1794871794871795,468
0,0,1,0,0,0,0,0.1736111111111111,0.0,173
0,0,1,0,0,0,0,0.0,,50
1,0,1,0,0,0,1,0.007633587786259542,1.0,150
0,0,1,0,0,0,0,,,3
0,0,1,0,0,0,0,0.1896551724137931,0.09090909090909091,496
1,0,0,0,0,0,0,0.08387096774193549,0.0,173
0,0,1,0,0,0,2,0.16568742655699178,0.0070921985815602835,1003
0,0,1,0,4,0,1,0.5642458100558659,0.009900990099009901,298
1,0,0,0,0,0,0,0.06666666666666667,0.0,66
1,0,0,0,0,20,0,0.0,,211
1,0,0,0,0,0,0,1.3333333333333333,0.052752293577981654,792
1,0,0,0,0,0,0,0.13559322033898305,0.25,79
0,0,1,0,0,0,0,0.14285714285714285,0.0,31
0,0,2,0,0,0,0,0.31343283582089554,0.09523809523809523,108
1,0,0,0,2,1,15,1.6671641791044776,0.06087735004476276,2121
1,0,0,0,1,1,0,0.1368421052631579,0.0,341
1,0,0,0,0,0,1,0.19166666666666668,0.043478260869565216,154
3,0,1,0,1,0,0,0.4730290456431535,0.02631578947368421,561
1,0,0,0,0,0,0,0.6481481481481481,0.04285714285714286,369
0,0,2,0,0,0,0,0.16494845360824742,0.1875,127
0,0,1,0,0,0,0,0.7482993197278912,0.0,260
1,0,1,0,11,3,0,0.12430939226519337,0.28888888888888886,470
1,0,0,0,0,0,3,0.7099447513812155,0.0038910505836575876,628
0,0,1,0,0,0,0,1.0625,0.029411764705882353,70
1,0,0,0,0,0,0,1.989795918367347,0.16923076923076924,339
0,0,1,0,0,0,0,0.0,,20
1,0,0,0,0,0,1,0.5454545454545454,0.6666666666666666,28
1,0,1,0,0,0,0,0.09230769230769231,0.0,84
1,0,0,0,0,0,0,0.7702702702702703,0.08771929824561403,143
1,0,0,0,0,0,0,0.10714285714285714,0.3333333333333333,67
0,0,1,0,0,0,1,0.18796992481203006,0.0,173
1,0,0,0,0,0,2,0.03257328990228013,0.25,684
1,0,0,0,0,0,1,0.058823529411764705,0.1,189
0,0,1,0,0,0,0,0.0,,23
1,0,0,0,0,0,0,0.0,,382
0,0,1,0,0,0,0,0.3157894736842105,0.16666666666666666,32
1,0,0,0,0,0,0,0.030303030303030304,0.0,40
0,0,1,0,0,0,0,,,3
1,0,1,0,0,0,0,1.7272727272727273,0.0,40
1,0,0,0,0,0,0,1.441988950276243,0.10727969348659004,484
5,0,1,0,2,0,0,0.3076923076923077,0.10416666666666667,454
1,0,0,0,0,0,0,0.0,,24
1,0,0,0,0,0,0,0.16911764705882354,0.0,328
0,0,3,0,2,0,0,0.3761467889908257,0.2682926829268293,182
0,0,1,0,2,0,0,0.834319526627219,0.1773049645390071,355
0,0,1,0,0,0,0,0.75177304964539,0.018867924528301886,755
0,0,1,0,0,0,0,0.32075471698113206,0.029411764705882353,147
1,0,0,0,0,0,0,0.08695652173913043,0.0,154
0,0,1,0,0,0,0,0.2698412698412698,0.058823529411764705,86
1,0,1,0,0,0,0,0.22950819672131148,0.0,123
1,0,0,0,0,0,1,0.06960556844547564,0.011111111111111112,1390
0,0,1,0,7,0,0,1.6666666666666667,0.0,189
0,0,1,0,0,0,0,0.5591397849462365,0.0,302
0,0,1,0,0,0,0,0.12938816449348045,0.12403100775193798,1345
1,0,0,0,0,0,0,0.23376623376623376,0.1111111111111111,104
1,0,4,0,10,1,10,0.45098039215686275,0.8985507246376812,367
1,0,1,0,1,0,1,0.7391304347826086,0.248868778280543,2071
1,0,0,0,0,0,0,0.1881720430107527,0.07142857142857142,454
0,0,1,0,0,0,0,2.5,0.2,22
1,0,1,0,0,0,1,1.07421875,0.08,569
0,0,1,0,0,0,0,0.0,,23
1,0,0,0,1,0,0,0.09216589861751152,0.05,251
0,0,1,0,0,0,0,0.23809523809523808,0.0,32
1,0,0,0,0,0,0,0.05,0.16666666666666666,135
0,0,2,0,0,0,0,0.3143631436314363,0.02586206896551724,569
0,0,1,0,0,0,0,0.42748091603053434,0.017857142857142856,200
1,0,1,0,2,0,0,1.0727272727272728,0.01694915254237288,128
1,0,0,0,0,0,0,0.285,0.07017543859649122,545
0,0,1,0,0,0,0,0.20147420147420148,0.0975609756097561,518
1,0,0,0,2,0,0,0.0,,97
1,0,0,0,0,0,1,0.18604651162790697,0.0,58
0,0,1,0,0,0,0,0.03676470588235294,0.0,146
0,0,1,0,0,0,0,0.12708333333333333,0.21311475409836064,567
1,0,1,0,0,0,0,0.13194444444444445,0.5789473684210527,184
0,0,1,0,0,0,0,0.06451612903225806,0.0,39
1,0,0,0,0,0,0,0.26666666666666666,0.125,164
1,0,0,0,0,0,0,0.1,0.0,15
0,0,2,0,0,0,2,0.09859154929577464,0.0,228
0,0,1,0,0,0,0,0.6576576576576577,0.05821917808219178,787
0,0,1,0,1,0,0,0.3548387096774194,0.0,51
1,0,0,0,0,0,0,0.04173913043478261,0.0,618
1,0,0,0,0,0,0,0.1111111111111111,0.0,32
1,4,0,0,1,0,3,0.16666666666666666,0.5,380
1,0,1,0,0,0,3,0.29523809523809524,0.03225806451612903,149
1,0,0,0,0,0,0,0.689873417721519,0.06422018348623854,279
1,0,2,0,0,0,1,0.5412844036697247,0.11864406779661017,538
0,0,1,0,1,0,0,0.23015873015873015,0.034482758620689655,169
1,0,0,0,0,0,0,1.0360360360360361,0.0,231
0,0,1,0,0,0,0,0.1276595744680851,0.0,57
1,0,0,0,0,0,0,0.0,,27
1,0,0,0,0,0,0,0.19148936170212766,0.2222222222222222,296
1,0,2,0,0,0,0,1.821656050955414,0.0034965034965034965,458
2,0,0,0,0,8,0,0.14735099337748345,0.1348314606741573,821
0,0,1,0,0,0,0,0.27058823529411763,0.17391304347826086,116
0,0,1,0,0,0,0,0.6842105263157895,0.0,104
0,0,1,0,0,0,0,0.7317073170731707,0.0,76
1,1,0,0,0,0,4,0.4365079365079365,0.01818181818181818,376
