primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,merch_purchase,percent_open,percent_click,Totals
0,0,2,0,0,0,1,0.22868217054263565,0.2033898305084746,340
1,1,0,0,0,0,0,0.27941176470588236,0.18421052631578946,739
0,1,1,0,0,0,1,0.8327402135231317,0.02564102564102564,563
1,0,0,0,1,0,2,0.13023255813953488,0.03571428571428571,498
1,1,4,0,2,1,0,0.32432432432432434,0.20833333333333334,245
0,0,3,0,0,0,0,0.7047619047619048,0.07657657657657657,592
2,0,0,0,0,1,4,1.4049217002237135,0.03980891719745223,1374
0,0,1,0,0,0,0,0.3180628272251309,0.13991769547325103,1050
0,0,2,0,2,0,0,0.1624087591240876,0.0449438202247191,661
2,0,3,0,7,0,2,0.7092511013215859,0.09316770186335403,862
0,0,1,0,0,0,0,0.03187250996015936,0.25,266
0,0,1,0,0,0,0,0.3170731707317073,0.09615384615384616,674
0,0,1,0,0,0,0,0.7217391304347827,0.10240963855421686,420
0,0,1,0,0,0,0,0.9382022471910112,0.029940119760479042,356
1,0,1,0,3,0,0,2.4193548387096775,0.16,138
0,0,1,0,0,0,0,0.650375939849624,0.005780346820809248,445
0,0,1,0,0,0,0,0.2562814070351759,0.06535947712418301,772
0,0,1,0,5,0,1,0.3946731234866828,0.0736196319018405,610
1,0,0,0,0,0,0,0.8388429752066116,0.06403940886699508,652
0,0,1,0,0,0,0,0.09641255605381166,0.3023255813953488,511
1,0,0,0,2,0,2,0.31261101243339257,0.056818181818181816,814
1,0,0,0,1,0,0,0.26744186046511625,0.11594202898550725,686
1,0,2,0,0,0,0,0.5641025641025641,0.022727272727272728,265
0,0,1,0,0,0,0,0.19122257053291536,0.08196721311475409,391
0,0,1,0,1,0,0,1.6301703163017032,0.1373134328358209,1184
0,0,1,0,0,0,0,0.4504950495049505,0.06593406593406594,305
0,0,1,0,2,0,0,0.29375,0.1702127659574468,233
0,0,1,0,1,0,1,0.0783289817232376,1.3666666666666667,485
0,0,2,0,0,0,0,0.5610062893081761,0.08295964125560538,1325
1,0,0,0,0,0,3,0.2623688155922039,0.2,898
1,0,0,0,0,0,0,0.47186147186147187,0.07339449541284404,354
1,0,0,0,0,0,1,0.44398340248962653,0.04672897196261682,360
3,2,1,0,5,16,0,1.5944055944055944,0.0,1752
0,0,1,0,0,0,0,0.06088992974238876,0.8076923076923077,486
1,0,1,0,0,0,0,0.3333333333333333,0.0,37
0,0,0,0,6,8,0,2.156,0.00927643784786642,826
0,0,1,0,0,1,0,0.4684317718940937,0.05652173913043478,766
0,0,3,0,0,0,0,0.98125,0.01592356687898089,2643
4,0,1,0,0,0,5,2.5977175463623396,0.050521691378363535,3042
0,0,2,0,0,0,0,0.4735772357723577,0.12446351931330472,765
0,0,0,0,0,0,0,0.8863636363636364,0.02564102564102564,314
0,0,2,0,0,0,0,0.22611464968152867,0.14084507042253522,403
