primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,merch_purchase,percent_open,percent_click,Totals
0,0,0,0,0,0,0,0.09876543209876543,0.5,116
0,0,0,0,0,0,0,0.5822147651006712,0.04610951008645533,964
0,0,1,0,0,0,0,0.3228346456692913,0.1951219512195122,363
0,0,0,0,0,0,0,0.38738738738738737,0.07906976744186046,803
0,0,3,0,0,0,1,0.2462686567164179,0.15151515151515152,540
0,0,0,0,0,0,0,0.9224318658280922,0.07045454545454545,1001
0,0,1,0,0,1,2,0.5338882282996433,0.031180400890868598,1320
0,0,1,0,0,0,0,0.6268436578171092,0.13647058823529412,1175
0,0,0,0,0,0,0,0.9727626459143969,0.04,539
0,0,1,1,0,0,1,1.742627345844504,0.055384615384615386,1074
0,0,0,0,0,0,0,0.5813586097946287,0.051630434782608696,1082
0,0,1,0,3,0,0,1.0328151986183074,0.043478260869565216,1218
0,0,0,0,0,0,0,0.26666666666666666,0.325,263
0,0,0,0,0,0,0,0.5709001233045623,0.017278617710583154,1306
0,0,0,0,1,0,2,0.33737864077669905,0.22302158273381295,712
0,0,1,0,1,0,0,0.32926829268292684,0.13425925925925927,917
0,0,0,0,0,0,0,0.08602150537634409,2.125,166
0,0,0,0,1,0,5,0.5222437137330754,0.11296296296296296,1916
0,0,1,0,0,0,4,0.6713124274099884,0.05190311418685121,1489
0,0,0,0,0,0,0,1.2179487179487178,0.04,891
0,0,0,0,0,0,0,0.3023255813953488,0.23076923076923078,75
0,0,0,0,0,0,0,0.85,0.06535947712418301,709
0,0,0,0,0,0,0,0.6410256410256411,0.16,74
0,0,0,0,0,0,0,0.2087912087912088,0.05263157894736842,124
0,0,0,0,0,0,0,1.1462450592885376,0.03793103448275862,562
0,0,0,0,0,0,0,0.252465483234714,0.0859375,710
0,1,0,0,0,0,0,0.3670212765957447,1.6231884057971016,376
0,0,0,0,0,0,0,2.25531914893617,0.2641509433962264,186
1,0,0,0,1,0,2,1.5248962655601659,0.0380952380952381,1525
0,0,0,0,0,0,0,0.961218836565097,0.01729106628242075,727
0,0,3,0,1,6,0,0.3935119887165021,0.12903225806451613,1084
0,0,1,0,0,1,0,0.6180327868852459,0.15384615384615385,1157
0,0,0,0,15,13,0,0.6260869565217392,0.05555555555555555,260
0,0,4,0,0,0,8,1.447089947089947,0.1425959780621572,1029
0,0,1,0,0,0,0,0.30194805194805197,0.22580645161290322,435
0,0,1,0,4,0,0,0.5234042553191489,0.06504065040650407,752
0,0,0,0,0,0,0,0.35331230283911674,0.41964285714285715,480
0,0,3,0,0,9,0,0.4389380530973451,0.18951612903225806,1158
0,0,2,0,1,0,1,0.2857142857142857,1.5,54
0,0,0,0,0,0,0,1.1282051282051282,0.011363636363636364,172
0,0,1,0,0,0,0,0.19114688128772636,0.16842105263157894,811
0,0,1,0,0,0,0,1.421875,0.02197802197802198,168
0,0,0,0,0,0,2,0.524390243902439,0.055232558139534885,1026
0,0,7,0,7,1,9,1.3620689655172413,0.0781831720029784,2521
0,0,1,0,0,0,0,0.2696629213483146,0.1111111111111111,364
0,0,0,0,0,0,0,1.481012658227848,0.23076923076923078,483
0,0,3,0,1,0,0,0.4462809917355372,0.2074074074074074,1177
0,0,1,0,1,0,0,0.33203125,0.11764705882352941,400
0,0,0,0,0,0,0,0.5932835820895522,0.06289308176100629,446
0,0,0,0,0,0,1,0.3333333333333333,0.08955223880597014,565
0,0,0,0,0,0,0,0.314453125,0.13664596273291926,720
0,0,0,0,0,0,0,1.1452282157676348,0.016304347826086956,1115
0,0,2,0,1,0,0,0.7736263736263737,0.036931818181818184,838
0,0,1,0,0,0,0,0.15847860538827258,0.08,818
0,0,0,0,1,0,0,0.1674074074074074,0.07964601769911504,814
0,0,0,0,0,0,0,0.8065573770491803,0.044715447154471545,569
0,0,1,0,0,0,0,,,5
0,0,1,0,0,0,0,0.3775933609958506,0.07142857142857142,689
0,0,3,0,1,0,9,0.6432264736297828,0.07877813504823152,1686
0,0,0,0,0,0,3,0.05671077504725898,0.16666666666666666,572
0,0,0,0,3,0,2,0.13284132841328414,0.09722222222222222,651
0,0,0,0,0,0,0,0.801829268292683,0.034220532319391636,618
0,0,0,0,0,0,0,1.7448275862068965,0.0,401
0,0,1,0,0,0,0,0.13408521303258145,0.11214953271028037,938
1,0,1,0,0,0,0,1.2965299684542586,0.04744525547445255,1607
0,0,0,0,2,0,0,0.15894039735099338,0.25,801
0,0,0,0,0,0,0,4.818181818181818,0.24528301886792453,164
0,0,0,0,0,0,5,0.43167701863354035,0.01079136690647482,936
0,0,1,0,1,0,0,0.7714285714285715,0.05555555555555555,163
0,0,1,0,0,0,0,0.2978369384359401,0.25139664804469275,837
0,0,0,0,0,0,0,0.4271186440677966,0.14285714285714285,443
0,0,0,0,0,0,1,0.315606936416185,0.10622710622710622,1222
0,0,0,0,0,0,0,,,2
