email_send,forward_received,forward_send,page_view,0-200_purchase,200-800_purchase,800+_purchase,no_purchase,percent_open,percent_click,CONVERSION,primary_purchases,other_purchases
205,0,0,0,0,0,0,1,0.3414634146341463,0.0857142857142857,0,0,0
42,5,2,0,1,0,0,0,0.9047619047619048,0.0,0,0,5
154,1,0,0,0,0,1,0,0.3701298701298701,0.0526315789473684,0,0,0
132,5,14,363,1,0,0,0,0.9848484848484848,0.2153846153846154,0,6,0
121,0,0,0,0,0,1,0,0.2396694214876033,0.2068965517241379,0,0,1
48,0,0,0,0,0,0,1,0.7708333333333334,0.027027027027027,0,0,0
81,0,0,0,0,0,1,0,0.3333333333333333,0.037037037037037,0,0,1
131,0,0,0,0,0,0,1,0.366412213740458,0.0625,0,0,0
30,0,0,0,0,0,1,0,0.8,0.1666666666666666,0,1,0
186,0,0,0,0,0,1,0,0.1881720430107527,0.0,0,0,1
28,0,0,3,0,0,0,1,0.1785714285714285,0.4,0,0,0
331,0,0,0,0,0,0,1,0.1631419939577039,0.0,0,0,0
63,0,0,0,0,0,1,0,0.9682539682539684,0.0163934426229508,0,1,0
88,0,1,0,0,0,0,1,0.2159090909090909,0.2105263157894736,0,0,0
136,4,0,12,0,1,0,0,0.1911764705882352,0.1153846153846153,0,0,0
61,2,0,17,0,0,1,0,1.0327868852459017,0.0634920634920634,0,0,0
87,0,0,2,0,0,0,1,0.264367816091954,0.1739130434782608,0,0,0
9,0,0,0,0,0,0,1,1.1111111111111112,0.1,0,0,0
118,2,0,0,0,0,1,0,0.1694915254237288,0.25,0,0,0
57,0,0,0,0,0,0,1,1.6842105263157894,0.0208333333333333,0,0,0
68,0,0,0,0,0,0,1,0.5,0.088235294117647,0,0,0
93,0,0,0,0,0,0,1,0.1720430107526881,0.25,0,0,0
66,0,0,0,0,0,0,1,0.0,1.0,0,0,0
70,0,0,10,0,0,0,1,0.7142857142857143,0.14,0,0,0
120,0,0,0,0,0,0,1,0.1166666666666666,0.0714285714285714,0,0,0
44,0,0,0,0,0,1,0,1.5909090909090908,0.1714285714285714,0,1,0
172,1,0,3,0,0,1,0,0.0872093023255814,0.6666666666666666,0,0,0
77,0,0,0,0,0,0,1,0.0779220779220779,0.0,0,0,0
152,0,0,0,0,0,0,1,0.1776315789473684,0.074074074074074,0,0,0
51,0,0,0,0,0,0,1,0.5098039215686274,0.3846153846153846,0,0,0
123,1,0,70,0,1,0,0,0.8130081300813008,0.09,0,2,1
79,0,1,0,1,0,0,0,0.5063291139240507,0.1,0,0,2
212,0,0,0,0,0,0,1,0.320754716981132,0.1911764705882352,0,0,0
142,1,1,0,0,0,1,0,0.2676056338028169,0.0526315789473684,0,0,0
109,0,0,0,0,0,0,1,0.128440366972477,0.2857142857142857,0,0,0
254,0,0,6,0,0,1,0,0.8543307086614174,0.032258064516129,0,0,2
119,0,0,0,0,0,0,1,0.042016806722689,0.0,0,0,0
239,0,0,0,0,0,0,1,0.1757322175732217,0.0476190476190476,0,0,0
181,0,0,0,0,0,0,1,0.1712707182320442,0.0,0,0,0
103,0,0,0,0,0,0,1,0.0970873786407767,0.0,0,0,0
79,0,0,132,0,0,1,0,0.8734177215189873,0.1304347826086956,0,0,1
24,1,0,150,0,0,1,0,0.625,0.0666666666666666,0,0,0
9,0,0,0,0,0,1,0,0.0,0.0,0,0,1
74,0,0,0,0,0,0,1,0.2702702702702703,0.25,0,0,0
59,0,0,0,0,1,0,0,0.2711864406779661,0.0,0,0,4
211,0,0,0,0,0,1,0,0.4549763033175355,0.1458333333333333,0,1,0
236,0,1,0,0,0,1,0,0.0805084745762711,0.3157894736842105,0,0,1
157,0,0,14,0,0,0,1,0.0700636942675159,0.0,0,0,0
112,0,0,0,0,0,1,0,0.0357142857142857,0.25,0,0,1
103,0,0,0,0,0,0,1,0.1553398058252427,0.0,0,0,0
71,0,0,0,0,0,0,1,0.6338028169014085,0.0444444444444444,0,0,0
128,0,0,3,0,0,1,0,0.09375,0.1666666666666666,0,0,1
69,0,0,0,0,0,0,1,0.391304347826087,0.037037037037037,0,0,0
20,0,0,12,0,0,0,1,0.1,0.0,0,0,0
97,0,0,0,0,0,0,1,0.1752577319587628,0.1176470588235294,0,0,0
77,0,0,0,0,0,0,1,0.5844155844155844,0.0666666666666666,0,0,0
91,0,0,0,0,0,1,0,0.6703296703296703,0.0655737704918032,0,1,0
0,1,0,0,1,0,0,0,0.0,0.0,0,1,0
133,0,0,50,0,0,0,1,0.3157894736842105,0.0952380952380952,0,0,0
100,0,1,0,0,0,1,0,0.34,0.088235294117647,0,0,1
