CUSTOMER_KEY,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_receipt,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_sth,primary_purchase_suite,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase
-7687478522823981278,42,0,12,18,4,11,145,1,0,0,0,0,20,2,0,0,0,0,12,0,0,8,0,0,0,0,0,0,235,44,0.027586206896551724,3.0,-21
-7666347589326922410,1104,0,62,3,463,3,705,0,0,7,0,1,3,2,0,996,0,1,1,0,0,7,0,0,17,0,0,0,2345,45,0.6567375886524822,0.13390928725701945,-1
-7498088826449412707,855,0,51,3,315,3,767,0,0,4,0,0,20,1,2,775,0,0,0,0,0,7,0,1,30,0,3,0,2000,46,0.4106910039113429,0.1619047619047619,27
-7444272062984528908,284,0,9,3,6,1,29,0,0,1,0,0,11,1,2,244,0,0,0,0,0,2,0,0,5,0,0,1,335,47,0.20689655172413793,1.5,21
-7381434639362989072,115,0,2,0,141,1,54,0,0,1,0,0,3,2,0,101,0,0,0,0,0,1,0,0,4,0,0,0,316,48,2.611111111111111,0.014184397163120567,12
-7362917538814672174,22,0,4,1,3,1,58,0,0,2,0,0,1,0,0,6,0,0,0,0,0,1,0,0,8,0,0,0,91,49,0.05172413793103448,1.3333333333333333,18
-7220704954349947024,239,0,4,0,2,0,62,0,0,2,0,0,3,1,0,230,0,0,0,0,0,1,0,0,5,0,0,0,310,50,0.03225806451612903,2.0,-2
-7182001334407371537,255,0,8,0,6,1,146,0,0,2,0,1,3,1,0,234,0,0,0,0,0,2,0,0,7,0,0,0,419,51,0.0410958904109589,1.3333333333333333,-32
-7139108510981460782,144,0,1,0,24,0,60,0,0,1,0,0,0,1,0,134,0,0,0,0,0,1,0,0,7,0,0,0,231,53,0.4,0.041666666666666664,-1
-7077566730579788140,11,0,3,2,12,3,68,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,99,54,0.17647058823529413,0.25,-26
-7043912350925996833,200,0,14,0,21,1,231,0,0,2,0,0,4,1,0,177,0,0,0,0,0,2,0,0,8,0,2,1,472,55,0.09090909090909091,0.6666666666666666,-16
-7036322561516370182,123,0,17,1,18,2,192,0,0,2,0,1,14,1,0,99,0,0,0,0,0,2,0,0,2,0,0,0,355,56,0.09375,0.9444444444444444,48
-7015441505373850168,837,0,34,7,292,7,158,0,0,5,0,2,32,0,0,789,0,1,1,0,0,2,0,0,0,0,0,0,1338,57,1.8481012658227849,0.11643835616438356,39
-7010510342748082784,24,0,21,0,10,0,272,0,0,2,0,0,7,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,329,58,0.03676470588235294,2.1,33
-6957829994505452049,245,0,16,2,58,1,76,0,0,2,0,0,6,0,0,232,0,0,0,0,0,1,0,0,4,0,0,0,399,59,0.7631578947368421,0.27586206896551724,-26
-6950906650238113394,19,0,0,2,45,2,112,0,0,2,0,1,4,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,181,60,0.4017857142857143,0.0,-20
-6818709734020143629,818,0,14,2,168,1,229,0,0,1,0,0,12,1,0,789,0,0,0,0,1,2,0,0,0,0,0,0,1234,61,0.7336244541484717,0.08333333333333333,-78
-6790631518461061502,11,0,4,0,58,0,146,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,4,3,0,0,222,62,0.3972602739726027,0.06896551724137931,7
-6744167893657008546,64,2,4,34,51,27,81,0,0,3,0,4,35,1,0,3,0,0,1,0,0,2,1,0,0,0,0,0,264,64,0.6296296296296297,0.0784313725490196,8
-6741972986182287599,103,0,11,0,50,2,158,0,0,2,0,0,7,1,2,89,0,0,0,0,0,2,0,0,1,1,0,0,328,65,0.31645569620253167,0.22,-95
-6660345576974130847,144,0,14,3,134,2,94,0,0,0,0,0,5,1,0,131,0,0,0,0,0,1,0,0,1,0,0,0,392,66,1.425531914893617,0.1044776119402985,259
-6530624777430011960,17,3,5,6,89,8,87,0,0,0,0,0,17,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,215,67,1.0229885057471264,0.056179775280898875,-289
-6526689350072366994,198,0,7,0,50,0,56,0,0,2,0,1,10,1,0,172,0,0,0,0,1,1,0,0,0,0,0,0,313,69,0.8928571428571429,0.14,-11
-6507184187867875336,63,0,4,5,42,6,54,0,0,2,0,0,2,0,0,47,0,0,0,0,1,1,0,0,1,0,0,0,175,70,0.7777777777777778,0.09523809523809523,90
-6483971988094031572,307,0,27,3,120,7,231,0,0,4,0,1,0,2,1,264,0,0,0,0,0,2,0,0,0,0,0,0,698,71,0.5194805194805194,0.225,-52
-6441900937252259965,318,3,20,0,21,0,252,0,0,4,0,0,8,0,0,282,0,0,1,0,1,2,0,0,0,0,0,1,616,72,0.08333333333333333,0.9523809523809523,-8
-6417429995057190665,974,0,76,8,407,9,239,0,0,5,0,1,14,1,1,921,0,0,0,0,1,2,0,0,7,0,0,0,1715,73,1.702928870292887,0.18673218673218672,-6
-6171746212769013547,17,0,9,0,4,0,92,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,123,74,0.043478260869565216,2.25,42
-6112744960481964509,14,0,3,0,76,0,48,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,7,1,0,0,143,76,1.5833333333333333,0.039473684210526314,9
-6061965555223657586,408,9,65,23,440,20,195,0,0,2,0,1,12,2,1,307,0,0,3,2,0,1,2,0,3,1,0,0,1164,77,2.2564102564102564,0.14772727272727273,-1
-6059503310037458980,405,0,10,0,33,1,230,0,0,4,0,0,2,1,5,359,0,0,1,0,0,15,0,0,7,0,0,0,683,78,0.14347826086956522,0.30303030303030304,1
-6049570537394932747,123,0,22,1,272,1,170,0,0,4,0,0,21,1,0,84,0,0,0,0,0,2,0,2,5,0,0,0,591,79,1.6,0.08088235294117647,-1
-6025874840385639274,18,0,3,0,24,0,97,0,0,1,0,0,0,0,0,6,0,0,0,0,0,1,0,0,9,0,0,0,143,80,0.24742268041237114,0.125,20
-5968559310524040605,88,0,21,0,279,1,257,0,0,1,0,0,3,2,0,59,0,0,0,0,0,2,0,1,12,1,0,0,650,81,1.0856031128404668,0.07526881720430108,-17
-5939722819055984299,358,0,20,1,23,2,106,0,0,1,0,0,8,1,0,337,0,0,0,0,1,1,0,0,0,1,0,0,513,82,0.2169811320754717,0.8695652173913043,20
-5760014016219071183,240,0,20,4,94,4,293,0,0,2,0,0,5,2,0,208,0,0,0,0,0,2,0,0,0,0,0,0,658,83,0.32081911262798635,0.2127659574468085,322
-5759102919560029214,187,0,2,0,13,0,43,0,0,1,0,0,1,1,0,171,0,0,0,0,0,1,0,0,3,0,0,0,247,84,0.3023255813953488,0.15384615384615385,-43
-5742895356362100559,710,10,79,1,44,0,369,0,0,14,0,0,4,0,6,667,0,0,0,0,0,2,0,0,2,0,0,0,1214,85,0.11924119241192412,1.7954545454545454,-4
-5713531855049494109,154,0,57,1,208,1,316,0,0,6,0,0,8,1,6,105,0,0,0,0,0,2,0,0,6,0,0,0,739,86,0.6582278481012658,0.27403846153846156,29
-5525552194471188130,248,0,8,1,75,1,65,0,0,1,0,0,1,1,0,228,0,0,0,0,0,1,0,0,18,0,0,0,400,87,1.1538461538461537,0.10666666666666667,1
-5450984110095424957,155,0,11,3,128,2,83,0,0,1,0,0,0,2,4,130,0,0,1,0,0,1,0,0,1,0,0,0,384,88,1.5421686746987953,0.0859375,13
-5417602618748645204,83,0,14,0,74,0,109,0,0,1,0,3,5,0,0,60,0,0,0,0,1,1,0,0,2,0,0,0,281,89,0.6788990825688074,0.1891891891891892,20
-5401122347547820497,203,0,3,0,2,1,30,0,0,2,0,0,4,2,0,188,0,0,0,0,0,2,0,0,9,0,0,0,243,90,0.06666666666666667,1.5,-26
-5374280373648718728,106,0,0,0,12,0,45,0,0,1,0,0,5,1,0,96,0,0,0,0,0,1,0,0,4,0,0,0,165,91,0.26666666666666666,0.0,17
-5373872813822702213,227,0,18,3,28,3,178,0,0,1,0,1,26,2,0,180,0,0,0,0,0,2,0,0,0,0,0,0,460,92,0.15730337078651685,0.6428571428571429,161
-5333932416693985977,23,0,9,0,37,0,36,0,0,1,0,0,2,1,0,2,0,0,0,0,0,1,0,0,4,0,0,0,107,94,1.0277777777777777,0.24324324324324326,12
-5290223801113959591,15,0,3,0,53,0,15,0,0,1,0,1,4,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,87,95,3.533333333333333,0.05660377358490566,-11
-5256542463348651930,297,2,9,0,208,0,106,0,0,1,0,1,7,1,1,281,0,0,0,0,0,1,0,0,3,0,0,0,624,96,1.9622641509433962,0.04326923076923077,36
-5216982100634739990,94,0,23,1,255,2,153,0,0,4,0,0,8,0,1,66,0,0,0,0,0,2,0,0,6,0,0,0,529,97,1.6666666666666667,0.09019607843137255,51
-5161998943714438438,139,0,18,9,20,10,204,0,0,3,0,0,18,0,0,112,0,0,0,0,0,2,0,0,1,0,1,0,404,98,0.09803921568627451,0.9,-59
-5123831164705290246,31,0,5,4,48,4,94,0,0,2,0,0,7,0,0,21,0,0,0,0,0,1,0,0,2,4,0,0,192,99,0.5106382978723404,0.10416666666666667,-43
-5096185894353951257,40,0,5,0,42,0,55,0,0,0,0,1,18,0,0,0,0,0,3,0,1,7,0,0,0,0,0,0,142,100,0.7636363636363637,0.11904761904761904,4
-5042074203120848926,369,0,70,5,445,7,183,0,0,4,0,0,9,1,6,323,0,0,0,0,0,2,1,0,5,2,0,0,1083,101,2.431693989071038,0.15730337078651685,-1
-5025315013505885548,617,4,28,0,20,0,205,0,0,3,0,0,6,1,0,572,0,0,1,0,0,2,0,0,7,0,0,0,876,102,0.0975609756097561,1.4,16
