CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_sth,primary_purchase_suite,secondary_purchase,secondary_sale,text_incoming_from_customer,Totals,CAMPAIGN_LOST,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase
6207896775180062030,385744,1482,11,0,1,0,104,0,75,0,0,3,2,0,0,0,0,0,0,0,2,0,0,1,0,191,STNL to BP,121,1.3866666666666667,0.009615384615384616,289
6241694083368610221,153743,485,15,0,5,0,5,1,49,0,1,3,7,0,0,2,0,0,0,0,2,0,0,0,0,76,STNL to BP,122,0.10204081632653061,1.0,151
6266701458823963631,325179,1185,3,0,3,0,110,0,45,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,161,STNL to BP,123,2.4444444444444446,0.02727272727272727,646
6317676185165226208,287298,1049,40,0,5,0,47,0,50,0,0,0,3,0,0,30,0,0,0,0,7,0,0,0,0,142,BP to STH,125,0.94,0.10638297872340426,33
6579223138005235987,220472,875,49,0,8,4,4,3,40,0,0,0,4,1,0,40,0,0,0,0,2,0,0,0,0,109,STNL to BP,128,0.1,2.0,432
7071888107113315093,538054,2057,124,0,3,0,37,1,101,0,4,0,0,0,0,103,0,0,0,0,2,0,0,0,0,266,STNL to BP,130,0.36633663366336633,0.08108108108108109,607
7137804044814279250,236388,870,8,0,4,0,25,0,79,0,1,0,1,0,0,0,0,0,0,0,2,0,0,5,0,117,BP to STH,131,0.31645569620253167,0.16,178
7232269491368354331,715630,2572,170,0,6,0,68,0,110,0,1,0,2,0,0,164,0,0,0,0,2,0,0,0,0,354,STNL to BP,132,0.6181818181818182,0.08823529411764706,2122
7420510104882457312,246178,950,4,0,0,0,67,0,51,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,122,STNL to BP,133,1.3137254901960784,0.0,176
7717143502210335496,1358759,5485,405,0,48,1,101,0,117,0,3,0,5,0,1,376,0,0,0,0,2,0,3,0,0,672,STNL to BP,134,0.8632478632478633,0.4752475247524752,103
8001046121562066194,278818,946,5,0,0,0,24,0,109,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,138,STNL to BP,136,0.22018348623853212,0.0,1089
8122720086455361158,169783,635,3,0,28,0,15,0,38,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,84,STNL to BP,137,0.39473684210526316,1.8666666666666667,59
8218457334943823746,139263,541,5,0,0,0,38,0,26,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,69,STNL to BP,138,1.4615384615384615,0.0,79
8267706113028823328,252783,895,34,0,2,0,10,0,79,0,0,0,0,0,1,30,0,0,0,0,2,0,0,0,0,125,STNL to BP,139,0.12658227848101267,0.2,583
8621837487991327738,188160,733,44,0,2,0,1,0,46,0,0,0,0,0,0,37,0,0,0,0,4,0,0,0,0,93,STNL to BP,141,0.021739130434782608,2.0,0
8659122036050231829,442768,1642,78,0,4,2,39,0,96,0,2,1,4,0,0,58,0,0,0,0,4,0,0,0,0,219,STNL to BP,142,0.40625,0.10256410256410256,456
8687547003197513216,236604,931,10,0,6,0,29,0,71,0,0,0,2,0,0,6,0,0,0,0,1,0,0,1,1,117,STNL to BP,143,0.4084507042253521,0.20689655172413793,96
8796760109441061402,82927,261,41,0,0,0,0,0,0,0,0,1,0,0,0,34,0,0,0,0,1,0,0,2,0,41,STNL to BP,144,,,76
8888486540612687268,398168,1544,92,0,0,0,11,0,94,0,0,0,0,0,0,80,0,0,0,0,2,0,0,0,0,197,STNL to BP,145,0.11702127659574468,0.0,1461
8907645328465305799,171933,676,83,0,0,0,0,0,2,0,1,0,2,0,0,71,0,0,0,0,8,0,0,0,0,85,STNL to BP,146,0.0,,127
8923001518233951486,596357,2137,123,0,11,3,74,1,82,0,3,0,1,1,0,114,0,0,0,0,2,0,0,0,0,295,STNL to BP,147,0.9024390243902439,0.14864864864864866,2178
9076186339214886876,54569,236,7,0,0,0,10,0,10,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,27,STNL to BP,149,1.0,0.0,103
