CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_receipt,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_sth,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase_x,AVG_TIME_DAYS_purchase_y
7068262586535410813,1771662,6770,317,0,14,2,99,1,421,0,0,4,0,0,2,0,1,281,0,0,0,0,1,4,0,14,0,14,8,876,237,0.23515439429928742,0.1414141414141414,50,50
7151887338487515245,1157128,4092,226,0,18,4,20,2,301,0,0,2,0,0,10,1,1,191,0,0,1,0,0,3,0,0,0,0,0,572,238,0.0664451827242525,0.9,139,139
7276594482227926094,1919183,7281,228,0,27,2,319,0,370,0,0,1,0,0,26,2,0,192,0,0,0,0,1,4,0,0,0,0,0,949,239,0.8621621621621621,0.08463949843260188,241,241
7295324433707532268,946722,3276,128,0,34,8,56,6,235,0,0,1,0,0,14,0,0,74,0,0,0,0,1,3,0,4,0,0,0,468,240,0.23829787234042554,0.6071428571428571,101,101
7388101269628597078,890509,3257,13,0,5,0,164,0,258,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,9,0,0,0,441,241,0.6356589147286822,0.03048780487804878,106,106
7461964110301626075,396454,1294,78,0,9,2,52,2,48,0,0,0,0,0,0,1,0,31,0,0,0,0,1,3,0,16,0,2,2,196,242,1.0833333333333333,0.17307692307692307,36,36
7492071143060171186,1846856,6398,279,0,46,6,284,4,290,0,0,4,0,0,32,3,0,221,0,0,1,0,0,3,0,2,0,0,0,913,243,0.9793103448275862,0.1619718309859155,120,120
7495642676124621999,1445481,5429,19,0,3,0,90,0,603,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,0,3,0,0,0,716,244,0.14925373134328357,0.03333333333333333,154,154
7601017232417224167,2967269,11507,49,0,22,0,831,0,567,0,0,3,0,0,2,0,2,0,0,0,0,0,0,3,2,0,0,0,1,1470,245,1.4656084656084656,0.026474127557160047,168,168
7724038285180061228,1409996,4325,31,0,57,4,355,5,243,0,0,4,0,0,13,1,0,0,0,0,0,0,2,3,0,4,0,0,0,697,246,1.4609053497942386,0.16056338028169015,88,88
7739149154297537591,1148672,4101,20,0,31,1,262,2,252,0,0,1,0,0,6,0,1,0,0,0,0,0,1,2,0,0,0,0,0,568,247,1.0396825396825398,0.1183206106870229,80,80
7755810136308339774,1134761,4358,23,0,35,0,170,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,562,248,0.5089820359281437,0.20588235294117646,557,557
