CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,primary_purchase_club,primary_purchase_single,primary_purchase_sth,secondary_purchase,secondary_sale,text_incoming_from_customer,text_outgoing_to_customer,Totals,CAMPAIGN_LOST,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase
7717143502210335496,853775,3356,336,0,10,11,12,5,48,2,0,0,0,3,325,0,0,1,1,0,0,0,0,422,STNL to BP,143,0.25,0.8333333333333334,61
8122720086455361158,52475,220,2,0,0,0,4,0,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,26,STNL to BP,146,0.2,0.0,51
8136649743309128814,467361,1487,176,0,2,0,7,0,46,0,0,3,0,0,165,0,0,0,3,0,4,0,0,231,STNL to BP,147,0.15217391304347827,0.2857142857142857,100
8175563627907988926,630501,2438,70,0,19,0,112,0,111,1,0,5,0,0,60,0,0,0,3,0,1,0,0,312,STNL to BP,148,1.009009009009009,0.16964285714285715,603
8218457334943823746,511121,1897,33,0,5,0,92,0,123,0,0,0,0,0,28,0,0,0,3,0,2,0,0,253,STNL to BP,149,0.7479674796747967,0.05434782608695652,452
8267706113028823328,280482,1076,8,0,0,0,66,0,65,0,0,1,0,0,0,0,0,0,2,0,0,0,0,139,STNL to BP,150,1.0153846153846153,0.0,352
8484907688085770444,64565,265,2,0,0,0,19,0,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,32,STNL to BP,151,1.7272727272727273,0.0,352
8621837487991327738,260711,969,37,0,7,0,20,0,65,0,0,1,0,0,28,0,0,0,6,0,0,0,0,129,STNL to BP,152,0.3076923076923077,0.35,435
8687547003197513216,117062,454,7,0,0,0,8,0,43,0,0,3,0,0,0,0,0,0,1,0,1,0,0,58,STNL to BP,154,0.18604651162790697,0.0,96
8888486540612687268,203939,815,2,0,0,0,36,0,63,0,0,0,0,0,0,0,0,0,2,0,0,0,0,101,STNL to BP,155,0.5714285714285714,0.0,1080
8907645328465305799,173944,743,86,0,0,0,0,0,0,0,0,7,0,0,69,0,0,0,6,0,3,0,0,86,STNL to BP,156,,,79
8923001518233951486,758036,3103,146,0,14,0,127,0,88,1,0,0,0,0,139,0,0,0,2,0,0,0,0,375,STNL to BP,157,1.4431818181818181,0.11023622047244094,729
9195348848691755995,183863,715,5,0,4,0,23,0,59,0,0,0,0,0,0,0,0,0,2,0,0,0,0,91,STNL to BP,159,0.3898305084745763,0.17391304347826086,1442
