primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_sth,secondary_purchase,secondary_sale,merch_purchase,percent_open,percent_click,Totals
0,0,1,3,0,6,0,0.7494553376906318,0.2703488372093023,1068
0,0,0,2,0,6,0,0.17857142857142858,0.07692307692307693,444
1,0,0,3,0,0,0,0.05555555555555555,1.0,450
0,0,0,14,0,0,1,0.5729166666666666,0.023376623376623377,1218
0,0,1,5,0,30,0,0.09090909090909091,1.2222222222222223,190
1,0,0,2,1,7,0,8.733333333333333,0.04834605597964377,980
0,0,0,2,0,1,0,1.970189701897019,0.13067400275103164,1200
1,0,0,3,0,5,1,1.109704641350211,0.8365019011406845,781
0,0,0,1,0,5,0,0.7535211267605634,0.06542056074766354,278
0,0,1,3,0,17,0,0.13894324853228962,0.43661971830985913,637
0,0,1,3,2,0,0,1.0472103004291846,0.5573770491803278,959
0,0,1,3,0,2,0,0.9042553191489362,0.08235294117647059,738
1,0,0,4,2,5,0,0.5527747551686616,0.08858267716535433,1522
1,0,0,6,0,9,4,0.5597609561752988,0.4128113879003559,2179
0,0,1,3,0,6,0,1.4578313253012047,0.08264462809917356,265
0,0,0,2,0,4,0,0.6363636363636364,0.0,396
0,0,0,3,0,0,0,0.013245033112582781,0.0,328
1,0,0,8,0,7,0,1.162162162162162,0.04392764857881137,1709
1,0,0,7,0,7,0,0.390104662226451,0.06585365853658537,1841
0,0,0,1,0,4,1,0.44623655913978494,0.10843373493975904,467
1,0,1,5,0,0,7,0.6756410256410257,0.25426944971537,2550
0,1,2,2,0,3,0,0.8166666666666667,0.03571428571428571,642
1,0,1,3,0,0,0,0.0848,1.2641509433962264,821
0,0,0,2,0,0,0,0.2542372881355932,0.0,234
0,0,0,3,0,0,0,1.3103448275862069,0.014354066985645933,758
0,1,0,5,0,0,2,0.2953020134228188,0.12878787878787878,676
0,0,1,6,0,34,0,1.3086642599277978,0.07103448275862069,3068
1,0,0,4,0,14,0,0.38181818181818183,0.07142857142857142,204
2,0,0,1,0,4,0,,,236
0,0,1,4,1,3,0,0.6908602150537635,0.36964980544747084,1217
0,0,1,5,0,1,0,1.6892265193370166,0.09566639411283728,2241
0,0,0,1,0,0,0,0.7055837563451777,0.05755395683453238,587
0,0,1,3,0,11,0,0.12446351931330472,0.8620689655172413,588
1,0,0,3,0,3,1,0.211340206185567,0.5609756097560976,1066
0,1,1,3,0,3,0,1.494915254237288,0.03854875283446712,871
0,0,0,3,0,0,0,1.9012345679012346,0.011904761904761904,1445
2,0,0,1,1,0,0,0.9230769230769231,2.5,184
0,0,1,4,0,24,0,1.3430656934306568,0.10326086956521739,997
0,0,1,6,0,0,0,1.5052083333333333,0.031141868512110725,2168
1,0,1,6,0,22,0,0.9546165884194053,0.06393442622950819,1357
0,0,0,3,0,0,0,0.0390625,2.1,334
1,0,0,4,0,0,0,0.5612903225806452,0.4540229885057471,1315
1,0,0,4,0,3,0,0.5092348284960422,0.37305699481865284,784
1,0,0,2,0,5,0,0.17592592592592593,0.8947368421052632,634
0,0,2,3,0,0,0,3.4285714285714284,0.11011904761904762,523
0,0,0,3,0,10,0,1.0977777777777777,0.024291497975708502,491
