primary_purchase_club,primary_purchase_single,primary_purchase_sth,secondary_sale,merch_purchase,percent_open,percent_click,CAMPAIGN_LOST,Totals
0,0,2,0,0,0.16666666666666666,0.0,STNL to BP,90
0,0,1,0,0,0.42857142857142855,0.5833333333333334,STNL to BP,95
0,0,1,0,0,1.027027027027027,0.0,STNL to BP,76
0,0,1,0,0,0.23529411764705882,0.0,STNL to BP,22
0,0,4,0,0,1.153225806451613,0.02097902097902098,STNL to BP,299
0,0,2,0,0,2.3225806451612905,0.020833333333333332,STNL to BP,211
0,0,2,1,0,0.25396825396825395,0.1875,STNL to BP,115
0,0,1,0,0,0.45454545454545453,0.0,STNL to BP,17
0,0,1,0,0,0.0,,BP to STH,33
0,0,1,0,0,0.03125,0.0,STNL to BP,40
0,0,1,0,0,0.9347826086956522,0.046511627906976744,STNL to BP,92
0,0,2,0,0,0.7419354838709677,0.021739130434782608,STNL to BP,141
0,0,1,0,0,1.9333333333333333,0.1206896551724138,STNL to BP,131
0,0,3,1,0,0.3103448275862069,0.0,STNL to BP,165
0,0,1,0,0,0.11363636363636363,2.6,BP to STH,64
0,0,6,0,0,0.328,0.17073170731707318,BP to STH,283
0,0,1,0,0,1.975609756097561,0.0,STNL to BP,123
0,0,1,1,0,0.043478260869565216,0.0,STNL to BP,30
3,0,4,1,0,0.7096774193548387,0.0,STNL to BP,65
0,0,1,2,0,0.37777777777777777,0.058823529411764705,STNL to BP,67
0,0,2,0,0,0.647887323943662,0.021739130434782608,STNL to BP,191
0,0,1,0,0,2.8823529411764706,0.061224489795918366,STNL to BP,70
0,0,1,0,0,2.5757575757575757,0.03529411764705882,STNL to BP,123
0,0,3,5,0,0.345679012345679,0.03571428571428571,STNL to BP,126
0,0,3,0,0,1.0930232558139534,0.05319148936170213,BP to STH,228
0,0,1,4,0,0.09375,0.6666666666666666,STNL to BP,42
0,0,1,0,0,0.84,0.23809523809523808,STNL to BP,52
0,0,1,1,0,0.3902439024390244,0.375,STNL to BP,68
0,0,1,0,0,0.7906976744186046,0.20588235294117646,STNL to BP,152
0,0,1,0,0,0.06976744186046512,1.3333333333333333,STNL to BP,98
0,0,2,1,0,0.2112676056338028,0.2,STNL to BP,133
0,0,2,0,0,1.364864864864865,0.019801980198019802,STNL to BP,179
0,0,1,0,0,0.9047619047619048,0.2894736842105263,STNL to BP,93
0,0,1,0,0,0.9310344827586207,0.18518518518518517,BP to STH,83
0,0,2,0,0,,,STNL to BP,17
0,0,1,0,0,0.05263157894736842,2.0,STNL to BP,44
0,0,1,0,0,2.1666666666666665,0.0,STNL to BP,61
0,0,2,3,0,0.4939759036144578,0.12195121951219512,STNL to BP,161
0,0,2,1,1,0.2644628099173554,0.03125,STNL to BP,212
0,0,2,1,0,0.9104477611940298,0.11475409836065574,STNL to BP,180
0,0,1,0,0,0.4772727272727273,0.047619047619047616,STNL to BP,72
0,0,1,0,0,0.044444444444444446,0.5,STNL to BP,120
0,0,4,1,0,,,STNL to BP,80
0,0,1,0,0,1.8636363636363635,0.0,STNL to BP,67
0,0,1,0,0,0.0,,BP to STH,6
0,0,1,2,0,0.0,,STNL to BP,126
0,0,1,0,0,0.8571428571428571,0.13333333333333333,STNL to BP,114
0,0,1,0,0,1.4375,0.34782608695652173,BP to STH,97
