primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_sth,primary_purchase_suite,secondary_purchase,secondary_sale,merch_purchase,percent_open,percent_click,Totals
2,0,1,2,0,2,26,0,1.0262008733624455,0.059574468085106386,757
0,0,0,1,0,1,2,0,1.2461538461538462,0.14814814814814814,265
0,0,0,2,0,0,10,0,0.775,0.1935483870967742,180
0,0,0,1,0,0,3,0,0.23880597014925373,0.375,213
1,0,0,2,0,0,14,3,0.3490566037735849,0.46846846846846846,1261
0,0,0,2,0,0,7,0,0.055900621118012424,1.6666666666666667,520
0,0,0,1,0,0,0,0,0.014492753623188406,1.0,83
0,0,1,2,0,0,11,0,0.12738853503184713,0.7,579
0,0,0,7,0,0,7,1,0.7501921598770177,0.027663934426229508,2448
1,0,0,2,0,0,12,1,1.8620689655172413,0.2962962962962963,479
0,0,0,1,0,0,0,0,0.6413793103448275,0.043010752688172046,247
0,0,0,1,0,0,0,0,0.2459016393442623,0.4,267
0,0,0,2,0,0,5,0,1.3125,0.11904761904761904,238
0,0,0,1,0,0,0,2,0.46808510638297873,0.045454545454545456,153
0,0,0,2,0,0,3,0,0.9285714285714286,0.0979020979020979,867
0,0,0,1,0,0,2,0,0.5072463768115942,0.14285714285714285,395
0,0,0,1,0,1,1,0,0.359375,0.17391304347826086,126
0,0,0,2,0,0,1,1,0.13963963963963963,0.3225806451612903,583
0,0,0,5,0,0,7,0,0.0,,197
0,0,0,1,0,0,4,0,0.125,1.0,88
0,0,0,2,0,0,6,0,1.017751479289941,0.06395348837209303,616
1,0,0,2,0,0,6,0,0.013157894736842105,1.5,262
0,0,0,1,0,0,1,0,0.0,,45
0,0,0,2,0,0,2,0,1.421383647798742,0.09292035398230089,525
0,0,0,1,0,0,2,0,0.9,0.2222222222222222,528
0,0,0,2,0,1,1,0,0.28695652173913044,0.2727272727272727,464
0,0,0,1,0,0,3,0,0.025,0.5,113
0,0,0,1,0,0,4,0,0.10606060606060606,1.1428571428571428,426
1,0,0,2,0,0,11,0,0.125,1.25,810
0,1,0,2,0,0,0,0,0.9865771812080537,0.19727891156462585,788
0,0,0,1,0,0,1,0,0.15789473684210525,0.6666666666666666,366
