"ACTIVITY_CODE_primary_purchase_club","ACTIVITY_CODE_primary_purchase_ga","ACTIVITY_CODE_primary_purchase_single","ACTIVITY_CODE_primary_purchase_sth","ACTIVITY_CODE_primary_purchase_suite","ACTIVITY_CODE_secondary_purchase","ACTIVITY_CODE_secondary_sale","ACTIVITY_CODE_merch_purchase","perc_open","perc_click","CONVERSION"
0,0,0,0,0,0,0,0,0.0337552742616034,0,"0"
0,0,0,0,0,0,0,0,0.0609137055837563,0,"0"
0,0,0,0,0,0,0,0,0.0277777777777778,0,"0"
0,0,0,0,0,0,0,0,0.104761904761905,0,"0"
0,0,0,0,0,0,0,0,0.0416666666666667,0,"0"
0,0,0,0,0,0,0,0,0.0571428571428571,0,"0"
0,0,0,0,0,0,0,0,0.116279069767442,0,"0"
0,0,0,0,0,0,0,0,0.465909090909091,0.024390243902439,"0"
0,0,0,0,0,0,0,0,0.151041666666667,0.172413793103448,"0"
0,0,0,0,0,0,0,0,0.923076923076923,0,"0"
0,0,0,0,0,0,0.000042165626581211,0,0.803030303030303,0.0566037735849057,"0"
0,0,0,0,0,0,0,0,0.5625,0.0740740740740741,"0"
0,0,0,0,0,0,0,0,0.325,0,"0"
0,0,0,0,0,0,0,0,0.183673469387755,0.166666666666667,"0"
0,0,0,0,0,0,0,0,0,0,"0"
0,0,0,0,0,0.0000197530864197531,0,0.0000197530864197531,0.395973154362416,0.135593220338983,"0"
0,0,0,0,0,0,0,0,0.0117647058823529,0,"0"
0,0,0,0,0,0,0,0,0.0285714285714286,0,"0"
0,0,0,0,0,0,0,0,0.0987654320987654,0,"0"
0,0,0,0,0,0,0,0,1.22413793103448,0.0845070422535211,"0"
0,0,0,0,0,0,0,0,0.15,0,"0"
0,0,0,0,0,0,0,0,0.2875,0,"0"
0,0,0,0,0,0,0,0,0.0930232558139535,0,"0"
0,0,0,0,0,0,0,0,0.0172413793103448,0,"0"
0,0,0,0,0,0,0,0,0.327272727272727,0,"0"
0,0,0,0,0,0,0,0,0.0317460317460318,0,"0"
0,0,0,0,0,0,0,0,0.296296296296296,0.125,"0"
0,0,0,0,0,0,0,0,0.470588235294118,0,"0"
0,0,0,0,0,0,0,0,0,0,"0"
0,0,0,0,0,0,0,0,0.0547945205479452,0,"0"
0,0,0,0,0,0,0,0,0.170454545454545,0.133333333333333,"0"
0,0,0,0,0,0,0,0,0.0679611650485437,0,"0"
0,0,0,0,0,0,0,0,0.0930232558139535,0,"0"
0,0,0,0,0,0,0,0,0.436781609195402,0.105263157894737,"0"
0,0,0,0,0,0,0,0,1.76190476190476,0,"0"
0,0,0,0,0,0,0,0,0.3,0.0303030303030303,"0"
