"ACTIVITY_CODE_primary_purchase_club","ACTIVITY_CODE_primary_purchase_ga","ACTIVITY_CODE_primary_purchase_single","ACTIVITY_CODE_primary_purchase_sth","ACTIVITY_CODE_primary_purchase_suite","ACTIVITY_CODE_secondary_purchase","ACTIVITY_CODE_secondary_sale","ACTIVITY_CODE_merch_purchase","perc_open","perc_click","CONVERSION"
0,0,0,0,0,0,0,0,0.1,0,"0"
0,0,0,0,0,0,0,0,0.175257731958763,0.117647058823529,"0"
0,0,0,0,0,0,0,0,0.555555555555556,0.0666666666666667,"0"
0.0000381039475689681,0,0,0,0,0,0,0,0.66304347826087,0.0655737704918033,"0"
0,0,0.00308641975308642,0,0,0,0,0,0,0,"0"
0,0,0,0,0,0,0,0,0.315789473684211,0.0952380952380952,"0"
0,0,0,0,0,0.0000502992807202857,0,0,0.346534653465347,0.0857142857142857,"0"
0,0,0,0,0,0,0,0,0.125,0.111111111111111,"0"
0,0,0,0,0,0,0,0,1.00854700854701,0.0338983050847458,"0"
0,0,0,0,0,0,0,0,0.245454545454545,0.037037037037037,"0"
0,0,0,0,0,0,0,0,0.226993865030675,0.0540540540540541,"0"
0,0,0,0,0,0,0,0,0.461538461538462,0,"0"
0,0,0,0,0,0,0,0,0.409836065573771,0.08,"0"
0,0,0,0,0,0,0,0,0.289473684210526,0,"0"
0,0,0.0000312100121719047,0,0,0,0.0000312100121719047,0,0.204819277108434,0.235294117647059,"0"
0,0,0.0000449226207856966,0,0,0,0,0.0000224613103928483,0.197183098591549,0.107142857142857,"0"
0,0,0,0,0,0,0,0,0.576271186440678,0.0294117647058824,"0"
0,0,0,0,0,0,0,0,0.273809523809524,0.0869565217391304,"0"
0,0,0,0,0,0,0,0,0.3,0.0952380952380952,"0"
0,0,0,0,0,0,0,0,1.05504587155963,0.0260869565217391,"0"
0,0,0,0,0,0,0,0,0,0,"0"
0,0,0,0,0,0,0,0,0.262295081967213,0.1875,"0"
0,0,0.0000134175958351783,0,0,0,0,0.0000268351916703565,0.144186046511628,0.0645161290322581,"0"
0,0,0,0,0,0.0000301895906291511,0,0,0.197278911564626,0.137931034482759,"0"
0,0,0,0,0,0,0,0,0.223776223776224,0.15625,"0"
0,0,0,0,0,0,0,0,0.347692307692308,0.0707964601769911,"0"
0,0,0,0,0,0.0000130328819611881,0,0,1.26050420168067,0.0333333333333333,"0"
0,0,0,0,0,0,0,0,0.606451612903226,0.074468085106383,"0"
0,0,0,0,0,0,0,0.0000079798269973507,0.469565217391304,0.101851851851852,"0"
0,0,0,0,0,0,0,0,1.3021978021978,0.0970464135021097,"0"
0,0,0,0,0,0,0,0,0.418367346938776,0.0731707317073171,"0"
0,0,0,0,0,0,0,0,0.386363636363636,0.0588235294117647,"0"
0,0,0,0,0,0,0,0.0000161287721165788,1.11111111111111,0.0166666666666667,"0"
0,0,0.0000301895906291511,0,0,0,0,0,0.791666666666667,0.0657894736842105,"0"
0,0,0.000164365548980934,0,0,0,0,0,0.333333333333333,0.294117647058823,"0"
0,0,0,0,0,0,0,0,0.362745098039216,0.189189189189189,"0"
0,0,0,0,0,0,0,0,0.676056338028169,0.0833333333333333,"0"
0,0,0,0.00000859985724236978,0,0,0.00000859985724236978,0.00000859985724236978,0.199233716475096,0.0576923076923077,"0"
0,0,0,0,0,0,0,0,0.260869565217391,0.0555555555555556,"0"
0,0,0,0,0,0,0,0,1.21428571428571,0.0588235294117647,"0"
0,0,0,0,0,0,0,0.0000319193079894028,0.357142857142857,0,"0"
0,0,0,0,0,0,0.0000172173344122863,0,2.38235294117647,0.0246913580246914,"0"
0,0,0,0,0,0,0,0,0.766666666666667,0.130434782608696,"0"
